Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Fev/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Fev/26;Jan/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.235.621,28;20.346.983,73; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Fev/26;Jan/26; ; ;
 ; ; ;DISPONIBILIDADES; ;1.371.845,90;1.805.045,71; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.371.845,90;1.805.045,71; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,58;0,61;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.383.429,49;10.314.106,77; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,74;1,65;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.232.362,41;8.222.695,69; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;1,00;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,73;0,65;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;329.176,85;325.591,17; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,74;0,79;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,31;0,31;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.821.890,23;1.765.819,91; ;I - ÍNDICES DE LIQUIDEZ; ;Fev/26;Jan/26; ; ;
