Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;8.480.345,89;8.227.831,25; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,19;1,13;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,08;0,10;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,69;0,67;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,19;1,13;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Fev/26;Jan/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.259.664,69;9.349.003,66; ;1 - MARGEM OPERACIONAL;LOL/VL;2,08;4,44;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;27,25;27,04;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;17.496,66;17.396,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;2,08;4,44;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;9.170.508,75;9.259.947,72; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,60;0,61;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,42;0,44;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;29.495.285,97;29.695.987,39; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,01;0,03;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,01;0,02;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,02;0,05;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Fev/26;Jan/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;17.070.902,17;18.044.653,92; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;9.707.431,12;9.738.052,23; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;249.174,24;224.381,15; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;998.458,99;955.331,42; ;Venda; ;13.173.786,81;14.151.896,07; ; ;
 ; ; ;.   Obrigações Sociais; ;86.315,41;78.641,21; ;Rec Liquida; ;12.361.103,15;13.283.995,75; ; ;
 ; ; ;.   Obrigações Fiscais; ;605.917,96;558.593,51; ;Margem Venda; ;3.368.404,06;3.592.536,83; ; ;
 ; ; ;.   Financiamentos; ;863.291,71;1.085.233,42; ;Despe. Var; ;607.497,68;612.405,73; ; ;
 ; ; ;.   Outras obrigações; ;3.116.733,19;4.077.618,55; ;Marg Contrib.; ;2.760.906,38;2.980.131,09; ; ;
 ; ; ;.   Provisões Sociais; ;1.443.579,55;1.326.802,43; ;Desp. Fixas; ;2.295.615,51;2.215.086,42; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Ebitida; ;465.290,87;765.044,67; ; ;
 ; ; ; ; ; ; ; ;Resultado Financeiro; ;24.359,22;25.653,76; ; ;
 ; ; ;NÃO CIRCULANTE; ;0,00;0,00; ;Depreciação; ;86.527,72;92.987,97; ; ;
 ; ; ;.   Financiamentos; ;0,00;0,00; ;IRPJ/CSLL; ;97.471,46;56.331,50; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Lucro Op. Liquido; ;256.932,47;590.071,44; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;PATRIMÔNIO LÍQUIDO; ;12.424.383,80;11.651.333,47; ; ; ; ; ; ; ;
 ; ; ;.   Capital Social Integralizado; ;1.050.000,00;1.050.000,00; ; ; ; ; ; ; ;
 ; ; ;.   Reservas de Lucros; ;4.484.726,26;4.484.726,26; ; ; ; ; ; ; ;
 ; ; ;.      Reservas de Capitais; ;8.914.079,67;8.914.079,67; ; ; ; ; ; ; ;
 ; ; ;.   Resultado do Exercício Corrente; ;699.657,67;-88.456,05; ; ; ; ; ; ; ;
 ; ; ;.   ( - ) Dividendos Distribuidos; ;-2.724.079,80;-2.709.016,41; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;TOTAL DO PASSIVO E PATRIMÔNIO LIQUIDO; ;29.495.285,97;29.695.987,39; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ;ATIVO OPERACIONAL;PASSIVO OPERACIONAL; ; ; ; ; ; ; ;
 ; ; ; ; ;20.649.301,33;16.735.039,35; ; ; ; ; ; ; ;
 ; ; ; ; ;20.537.938,88;15.958.436,22; ; ; ; ; ; ; ;
 ; ; ; ; ;22.634.019,69;18.601.309,71; ; ; ; ; ; ; ;
 ; ; ; ; ;30.286.339,42;10.013.778,48; ; ; ; ; ; ; ;
