Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Ebitida; ;942.327,38;826.073,96; ; ;
 ; ; ; ; ; ; ; ;Resultado Financeiro; ;37.775,80;25.795,83; ; ;
 ; ; ;NÃO CIRCULANTE; ;1.340.924,66;1.340.924,66; ;Depreciação; ;95.408,20;93.209,25; ; ;
 ; ; ;.   Financiamentos; ;1.340.924,66;1.340.924,66; ;IRPJ/CSLL; ;54.744,52;56.057,30; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Lucro Op. Liquido; ;754.398,86;651.011,58; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;PATRIMÔNIO LÍQUIDO; ;11.084.864,84;11.039.584,60; ; ; ; ; ; ; ;
 ; ; ;.   Capital Social Integralizado; ;1.050.000,00;1.050.000,00; ; ; ; ; ; ; ;
 ; ; ;.   Reservas de Lucros; ;2.677.379,44;2.677.379,44; ; ; ; ; ; ; ;
 ; ; ;.      Reservas de Capitais; ;8.914.079,67;8.914.079,67; ; ; ; ; ; ; ;
 ; ; ;.   Resultado do Exercício Corrente; ;478.437,86;343.391,89; ; ; ; ; ; ; ;
 ; ; ;.   ( - ) Dividendos Distribuidos; ;-2.035.032,13;-1.945.266,40; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;TOTAL DO PASSIVO E PATRIMÔNIO LIQUIDO; ;29.487.556,84;29.453.655,26; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ;ATIVO OPERACIONAL;PASSIVO OPERACIONAL; ; ; ; ; ; ; ;
 ; ; ; ; ;20.976.545,03;15.128.654,37; ; ; ; ; ; ; ;
 ; ; ; ; ;20.781.647,55;15.231.068,00; ; ; ; ; ; ; ;
 ; ; ; ; ;22.225.216,02;15.165.776,89; ; ; ; ; ; ; ;
 ; ; ; ; ;30.618.374,90;10.848.303,45; ; ; ; ; ; ; ;
