Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Mar/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Mar/25;Fev/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;21.922.898,42;21.906.861,17; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Mar/25;Fev/25; ; ;
 ; ; ;DISPONIBILIDADES; ;2.068.870,80;1.374.510,41; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;2.068.870,80;1.374.510,41; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,64;0,64;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.492.674,34;10.431.529,02; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,56;1,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.645.904,96;7.517.314,04; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,56;0,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;292.259,88;289.189,66; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,77;0,77;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,28;0,28;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.554.509,50;2.625.025,32; ;I - ÍNDICES DE LIQUIDEZ; ;Mar/25;Fev/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;9.361.353,28;10.100.821,74; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,13;1,13;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,11;0,08;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,69;0,65;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,20;1,21;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Mar/25;Fev/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;8.575.165,56;8.480.855,41; ;1 - MARGEM OPERACIONAL;LOL/VL;5,49;4,43;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;58.659,28; ;2 - MARGEM BRUTA;LB/VL;28,07;27,96;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;16.016,66;15.916,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;5,49;4,43;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;8.487.489,62;8.406.279,47; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,62;0,56;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,45;0,40;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;30.498.063,98;30.387.716,58; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,03;0,02;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,02;0,02;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,07;0,05;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Mar/25;Fev/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;18.199.377,22;18.169.098,24; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;9.616.372,22;9.710.080,57; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;1.169.399,81;1.089.705,29; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;940.479,28;962.279,92; ;Venda; ;14.661.946,70;13.132.184,06; ; ;
 ; ; ;.   Obrigações Sociais; ;10.718,60;2.082,89; ;Rec Liquida; ;13.756.315,46;12.317.177,87; ; ;
 ; ; ;.   Obrigações Fiscais; ;613.363,96;510.221,98; ;Margem Venda; ;3.861.850,86;3.444.447,36; ; ;
 ; ; ;.   Financiamentos; ;1.864.200,52;2.069.283,30; ;Despe. Var; ;673.766,14;570.272,04; ; ;
 ; ; ;.   Outras obrigações; ;2.615.397,60;2.575.435,65; ;Marg Contrib.; ;3.188.084,72;2.874.175,32; ; ;
 ; ; ;.   Provisões Sociais; ;1.369.445,23;1.250.008,64; ;Desp. Fixas; ;2.245.672,71;2.162.846,14; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Ebitida; ;942.412,01;711.329,18; ; ;
 ; ; ; ; ; ; ; ;Resultado Financeiro; ;33.563,26;36.265,13; ; ;
 ; ; ;NÃO CIRCULANTE; ;1.340.924,66;1.340.924,66; ;Depreciação; ;96.294,21;86.220,25; ; ;
 ; ; ;.   Financiamentos; ;1.340.924,66;1.340.924,66; ;IRPJ/CSLL; ;57.827,53;43.069,15; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Lucro Op. Liquido; ;754.727,01;545.774,66; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;PATRIMÔNIO LÍQUIDO; ;10.957.762,10;10.877.693,68; ; ; ; ; ; ; ;
 ; ; ;.   Capital Social Integralizado; ;1.050.000,00;1.050.000,00; ; ; ; ; ; ; ;
 ; ; ;.   Reservas de Lucros; ;2.677.379,44;2.677.379,44; ; ; ; ; ; ; ;
 ; ; ;.      Reservas de Capitais; ;8.914.079,67;8.914.079,67; ; ; ; ; ; ; ;
 ; ; ;.   Resultado do Exercício Corrente; ;185.384,22;29.390,23; ; ; ; ; ; ; ;
 ; ; ;.   ( - ) Dividendos Distribuidos; ;-1.869.081,23;-1.793.155,66; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;TOTAL DO PASSIVO E PATRIMÔNIO LIQUIDO; ;30.498.063,98;30.387.716,58; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ;ATIVO OPERACIONAL;PASSIVO OPERACIONAL; ; ; ; ; ; ; ;
 ; ; ; ; ;22.196.178,77;15.010.109,65; ; ; ; ; ; ; ;
 ; ; ; ; ;22.225.216,02;15.165.776,89; ; ; ; ; ; ; ;
 ; ; ; ; ;21.961.080,37;14.347.871,09; ; ; ; ; ; ; ;
 ; ; ; ; ;31.386.530,50;10.984.433,32; ; ; ; ; ; ; ;
