Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;ago/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;ago/26;jul/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;22.596.534,23;23.360.291,47; ;I - ÍNDICES ESTRUT.CAPITAIS; ;ago/26;jul/26; ; ;
 ; ; ;DISPONIBILIDADES; ;1.805.880,86;1.188.820,28; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.805.880,86;1.188.820,28; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,59;0,61;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;11.302.849,83;11.678.742,54; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,73;1,63;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.261.354,05;8.430.706,10; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1;1;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0;0; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,68;0,63;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;333.524,50;333.232,70; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,77;0,79;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0;0; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,31;0,31;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.707.971,28;2.914.803,74; ;I - ÍNDICES DE LIQUIDEZ; ;ago/26;jul/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;9.487.803,54;10.492.728,65; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,16;1,13;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,09;0,06;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0;0; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,67;0,62;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0;0; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,15;1,13;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0;0; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;ago/26;jul/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;10.430.829,52;10.490.228,81; ;1 - MARGEM OPERACIONAL;LOL/VL;5;6,6;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;27,93;27,25;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;18.186,66;18.086,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;5;6,6;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;10.340.983,58;10.400.482,87; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,69;0,69;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,48;0,51;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;33.027.363,75;33.850.520,28; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,03;0,05;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,02;0,03;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,06;0,09;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;ago/26;jul/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;19.601.960,57;20.720.884,01; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;10.815.486,80;11.704.270,45; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;215.683,85;308.742,22; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;1.359.042,02;1.135.495,56; ;Venda; ;17.099.676,02;17.569.325,09; ; ;
 ; ; ;.   Obrigações Sociais; ;117.395,68;111.812,24; ;Rec Liquida; ;16.000.144,11;16.447.740,78; ; ;
 ; ; ;.   Obrigações Fiscais; ;810.112,59;743.795,76; ;Margem Venda; ;4.468.986,76;4.482.058,68; ; ;
 ; ; ;.   Financiamentos; ;606.142,09;326.616,03; ;Despe. Var; ;712.623,51;726.820,65; ; ;
 ; ; ;.   Outras obrigações; ;3.998.724,51;4.666.544,45; ;Marg Contrib.; ;3.756.363,25;3.755.238,03; ; ;
 ; ; ;.   Provisões Sociais; ;1.679.373,03;1.723.607,30; ;Desp. Fixas; ;2.704.321,28;2.432.838,64; ; ;
 ; ; ;.   Provisões Fiscais; ;0;0; ;Ebitida; ;1.052.041,97;1.322.399,40; ; ;
 ; ; ; ; ; ; ; ;Resultado Financeiro; ;36.157,27;34.765,11; ; ;
 ; ; ;NÃO CIRCULANTE; ;0;0; ;Depreciação; ;112.001,01;115.134,19; ; ;
 ; ; ;.   Financiamentos; ;0;0; ;IRPJ/CSLL; ;103.591,53;86.616,32; ; ;
 ; ; ;.   Provisões Fiscais; ;0;0; ;Lucro Op. Liquido; ;800.292,16;1.085.883,78; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;PATRIMÔNIO LÍQUIDO; ;13.425.403,33;13.129.636,31; ; ; ; ; ; ; ;
 ; ; ;.   Capital Social Integralizado; ;1.050.000,00;1.050.000,00; ; ; ; ; ; ; ;
 ; ; ;.   Reservas de Lucros; ;4.484.626,26;4.484.626,26; ; ; ; ; ; ; ;
 ; ; ;.      Reservas de Capitais; ;8.914.079,67;8.914.079,67; ; ; ; ; ; ; ;
 ; ; ;.   Resultado do Exercício Corrente; ;1.826.338,62;1.503.652,36; ; ; ; ; ; ; ;
 ; ; ;.   ( - ) Dividendos Distribuidos; ;-2.849.641,22;-2.822.721,98; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;TOTAL DO PASSIVO E PATRIMÔNIO LIQUIDO; ;33.027.363,90;33.850.520,32; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ;ATIVO OPERACIONAL;PASSIVO OPERACIONAL; ; ; ; ; ; ; ;
 ; ; ; ; ;23.662.609,07;20.085.525,76; ; ; ; ; ; ; ;
 ; ; ; ; ;22.898.851,83;18.780.134,63; ; ; ; ; ; ; ;
 ; ; ; ; ;24.073.322,59;20.424.724,61; ; ; ; ; ; ; ;
 ; ; ; ; ;30.764.917,18;11.663.464,98; ; ; ; ; ; ; ;
