Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Abr/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Abr/25;Mar/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.674.227,43;21.922.898,42; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Abr/25;Mar/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.645.714,17;2.068.870,80; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.645.714,17;2.068.870,80; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,63;0,64;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;9.429.917,71;10.492.674,34; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,66;1,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.550.755,10;7.645.904,96; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,60;0,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;294.218,25;292.259,88; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,79;0,77;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,30;0,28;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.584.944,36;2.554.509,50; ;I - ÍNDICES DE LIQUIDEZ; ;Abr/25;Mar/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;9.598.595,55;9.361.353,28; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,13;1,13;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,10;0,11;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,65;0,69;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,21;1,20;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Abr/25;Mar/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;8.779.427,83;8.575.165,56; ;1 - MARGEM OPERACIONAL;LOL/VL;4,89;5,49;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;27,30;28,07;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;16.166,66;16.016,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;4,89;5,49;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;8.691.601,89;8.487.489,62; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,62;0,62;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,44;0,46;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;29.453.655,26;30.498.063,98; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,03;0,03;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,02;0,03;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,06;0,07;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Abr/25;Mar/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;17.073.146,00;18.199.377,22; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;9.389.206,12;9.616.372,22; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;282.886,53;1.169.399,81; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;942.348,58;940.479,28; ;Venda; ;14.211.668,98;14.661.946,70; ; ;
 ; ; ;.   Obrigações Sociais; ;452,68;10.718,60; ;Rec Liquida; ;13.315.607,56;13.756.315,46; ; ;
 ; ; ;.   Obrigações Fiscais; ;573.875,78;613.363,96; ;Margem Venda; ;3.635.155,44;3.861.850,86; ; ;
 ; ; ;.   Financiamentos; ;1.661.605,10;1.864.200,52; ;Despe. Var; ;695.515,56;673.766,14; ; ;
