Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Jul/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Jul/25;Jun/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.394.954,68;21.321.394,68; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Jul/25;Jun/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.012.244,12;2.358.641,18; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.012.244,12;2.358.641,18; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,62;0,63;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.259.601,26;9.980.651,40; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,66;1,58;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.894.362,38;7.882.212,41; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,61;0,58;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;302.669,74;299.241,96; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,81;0,81;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,31;0,30;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.062.569,14;1.799.197,03; ;I - ÍNDICES DE LIQUIDEZ; ;Jul/25;Jun/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;9.123.109,30;8.982.102,10; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,12;1,11;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,06;0,13;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,66;0,69;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,20;1,19;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Jul/25;Jun/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.186.512,28;9.078.631,20; ;1 - MARGEM OPERACIONAL;LOL/VL;6,29;4,55;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;27,38;26,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;16.596,66;16.496,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;6,29;4,55;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;9.098.256,34;8.990.475,26; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,67;0,65;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,47;0,46;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;29.581.466,96;30.400.025,88; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,04;0,03;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,03;0,02;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,08;0,06;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Jul/25;Jun/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;16.986.792,73;17.906.104,72; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;9.407.394,56;10.258.408,27; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;246.416,78;295.541,04; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;907.165,46;937.745,75; ;Venda; ;15.066.573,25;14.661.751,35; ; ;
 ; ; ;.   Obrigações Sociais; ;40.412,13;37.056,28; ;Rec Liquida; ;14.107.616,76;13.746.895,70; ; ;
 ; ; ;.   Obrigações Fiscais; ;551.844,29;597.959,60; ;Margem Venda; ;3.862.824,81;3.650.876,64; ; ;
 ; ; ;.   Financiamentos; ;1.038.121,76;1.246.904,12; ;Despe. Var; ;699.767,06;701.755,53; ; ;
 ; ; ;.   Outras obrigações; ;2.972.431,25;2.789.624,28; ;Marg Contrib.; ;3.163.057,75;2.949.121,11; ; ;
 ; ; ;.   Provisões Sociais; ;1.823.006,50;1.742.865,38; ;Desp. Fixas; ;2.079.531,41;2.141.851,97; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Ebitida; ;1.083.526,34;807.269,14; ; ;
 ; ; ; ; ; ; ; ;Resultado Financeiro; ;26.338,86;28.001,12; ; ;
 ; ; ;NÃO CIRCULANTE; ;1.340.924,66;1.340.924,66; ;Depreciação; ;98.753,32;96.228,27; ; ;
 ; ; ;.   Financiamentos; ;1.340.924,66;1.340.924,66; ;IRPJ/CSLL; ;71.317,37;58.031,50; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Lucro Op. Liquido; ;887.116,80;625.008,25; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;PATRIMÔNIO LÍQUIDO; ;11.253.749,57;11.152.996,50; ; ; ; ; ; ; ;
 ; ; ;.   Capital Social Integralizado; ;1.050.000,00;1.050.000,00; ; ; ; ; ; ; ;
 ; ; ;.   Reservas de Lucros; ;2.677.379,44;2.677.379,44; ; ; ; ; ; ; ;
 ; ; ;.      Reservas de Capitais; ;8.914.079,67;8.914.079,67; ; ; ; ; ; ; ;
 ; ; ;.   Resultado do Exercício Corrente; ;826.536,16;632.015,02; ; ; ; ; ; ; ;
 ; ; ;.   ( - ) Dividendos Distribuidos; ;-2.214.245,70;-2.120.477,63; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;TOTAL DO PASSIVO E PATRIMÔNIO LIQUIDO; ;29.581.466,96;30.400.025,88; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ;ATIVO OPERACIONAL;PASSIVO OPERACIONAL; ; ; ; ; ; ; ;
 ; ; ; ; ;21.623.712,28;16.363.659,56; ; ; ; ; ; ; ;
 ; ; ; ; ;20.697.272,28;15.702.254,19; ; ; ; ; ; ; ;
 ; ; ; ; ;20.781.647,55;15.231.068,00; ; ; ; ; ; ; ;
 ; ; ; ; ;29.684.313,58;10.696.192,71; ; ; ; ; ; ; ;
