Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Jun/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Jun/26;Mai/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;24.064.771,42;20.378.423,89; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Jun/26;Mai/26; ; ;
 ; ; ;DISPONIBILIDADES; ;2.616.474,23;1.781.181,57; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;2.616.474,23;1.781.181,57; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,62;0,58;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.536.088,13;10.762.216,60; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,44;1,72;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.817.617,33;8.336.216,60; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;1,00;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,62;0,72;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;333.103,44;332.818,51; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,79;0,79;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,30;0,33;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.385.367,36;2.093.181,49; ;I - ÍNDICES DE LIQUIDEZ; ;Jun/26;Mai/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;10.912.209,06;7.835.025,72; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,13;1,15;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,12;0,10;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,62;0,71;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,13;1,15;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Jun/26;Mai/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;10.491.808,66;10.233.126,60; ;1 - MARGEM OPERACIONAL;LOL/VL;4,61;5,25;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;27,36;27,62;QUANTO MAIOR MELHOR; ;
