Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Setembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Set/24; ;Ago/25; ;Set/25; ; ; ;Set/25; ;Set/25;;Set/25; ;
 ;( - ) Despesas Gerais;1.280,61;0,38%;24.948,24;0,18%;21.559,57;0,16%;-3.388,67;-13,6%;21.559,57;0,16%;0,00;0;21.559,57;0,16%;
 ;( +) Outras Receitas;47.806,61;0,38%;44.649,55;0,32%;33.298,41;0,25%;-11.351,14;-25,4%;33.298,41;0,25%;0,00;0;33.298,41;0,25%;
 ;( +) Bonificação Recebidas;121.423,94;0,98%;132.791,64;0,95%;97.776,36;0,73%;-35.015,28;-26,37;97.776,36;0,73%;0,00;0;97.776,36;0,73%;
 ;DESPESAS OPERACIONAIS;2.396.049,68;19,27%;2.973.286,74;21,33%;2.896.717,69;21,58%;-76.569,05;-2,6%;2.896.717,69;21,58%;59.457,85;0,1482;2.845.436,40;21,22%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;924.865,84;7,44%;852.703,19;6,12%;878.515,10;6,55%;25.811,91;3,0%;878.515,10;6,55%;341.732,92;0,8518;914.598,19;6,82%;
 ;( - ) Depreciação / Amortização;87.017,75;0,70%;97.596,54;0,70%;93.949,09;0,70%;-3.647,44;-3,7%;93.949,09;0,70%;2.808,34;0,007;96.757,43; ;
 ;EBIT;837.848,09;6,74%;755.106,65;5,42%;784.566,00;5,85%;29.459,35;3,9%;784.566,00;5,85%;338.924,59;0,8448;817.840,76;6,10%;
 ;( - ) Resultado Financeiro;67.945,98;0,55%;24.889,67;0,18%;26.067,14;0,00%;1.177,47;4,7%;26.067,14;0,19%;2.457,06;0,0061;28.524,20; ;
 ;RESULTADO DO PERIODO;769.902,11;6,19%;730.216,98;5,24%;758.498,86;5,65%;28.281,88;3,9%;758.498,86;5,65%;336.467,53;0,8387;789.316,56;5,89%;
 ;( - ) IRPJ / CSLL;45.248,21;0,36%;51.165,57;0,37%;69.577,93;0,52%;18.412,36;36,0%;69.577,93;0,52%;52.601,50;0,1311;122.179,43; ;
 ;RESULTADO LIQUIDO;724.653,90;5,83%;679.051,41;4,87%;688.920,93;5,13%;9.869,52;1,5%;688.920,93;5,13%;283.866,03;0,7076;667.137,13;4,98%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;341.093,59;2,74%;397.934,44;2,85%;385.418,06;2,87%;12.516,38;-3,15%; ; ;96.000,00;0,2393;175.768,23; ;
 ;PRO LABORE TUBERTINO;46.552,53;0,37%;68.650,75;0,49%;63.548,34;0,47;-5.102,41;8,03%; ; ;21.000,00;0,0523;84.548,34; ;
 ;PRO LABORE DIEGO;100,00;0,00%;0,00;0,00%;13,25;0,00%;13,25;-100,00%; ; ;25.000,00;0,0623;25.013,25; ;
 ;PRO LABORE THIAGO;30,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;25.000,00;0,0623;25.000,00; ;
 ;PRO LABORE PATRICIA;56.074,09;0,45%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;0,00; ;25.000,00;0,0623;25.000,00; ;
 ;PRO LABORE EMPRESA;100,00;0,00%;30.859,90;0,22%;16.206,64;0,12%;-14.653,26;90,42%;1.690.262,23; ;0,00;0;16.206,64; ;
 ;TOTAL;723,40;0,01%;-782,37;-0,01%;0,00;0,00%;782,37;-100,00%;1.690.262,23; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;7.209,32;0,06%;1.135,10;0,01%;3.081,70;0,02%;1.946,60;-63,17%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;6.485,92;0,05%;1.917,47;0,01%;3.081,70;0,01%;1.164,23;-37,78%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);237.513,57;1,91%;299.206,16;2,15%;305.649,83;2,19%;6.443,67;2,15%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;383.560,31;3,09%;281.116,97;2,02%;303.502,87;2,26%; ; ; ; ;187.866,03;0,4683;491.368,90;3,67%;
 ;EMPRESTIMOS E FINANCIAMENTOS;193.220,86;1,55%;211.493,07;1,52%;212.804,02;1,59%; ; ; ; ;2.466,60;;215.270,62; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;190.339,45;1,53%;69.623,90;0,50%;90.698,85;0,68%; ; ; ; ;185.399,43;;276.098,28; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;10.453.768,32;77,89%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;4.037.388,74; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.416.489,20; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;210.174,84; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;165.996,00; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;17.427,25; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;3.775.232,79; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
