Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Fev/25; ;Jan/26; ;Fev/26; ; ; ;Fev/26; ;Fev/26;;Fev/26; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;771.507,05;6,23%;767.511,63;5,77%;467.544,69;3,78%;-299.966,94;-39,1%;1.167.544,69;9,43%;184.517,78;0,4902;374.763,71;3,03%;
 ;( - ) Depreciação / Amortização;86.637,87;0,70%;93.101,60;0,70%;86.644,28;0,70%;-6.457,32;-6,9%;86.644,28;0,70%;2.634,81;0,007;89.279,09; ;
 ;EBIT;684.869,18;5,53%;674.410,03;5,07%;380.900,41;3,08%;-293.509,62;-43,5%;1.080.900,41;8,73%;181.882,97;0,4832;285.484,62;2,31%;
 ;( - ) Resultado Financeiro;36.630,13;0,30%;25.653,76;0,19%;24.359,22;0,00%;-1.294,54;-5,0%;24.359,22;0,20%;6.239,22;0,0166;30.598,44; ;
 ;RESULTADO DO PERIODO;648.239,05;5,24%;648.756,27;4,88%;356.541,19;2,88%;-292.215,08;-45,0%;1.056.541,19;8,54%;175.643,75;0,4666;254.886,18;2,06%;
 ;( - ) IRPJ / CSLL;43.069,15;0,35%;56.331,50;0,42%;97.471,46;0,79%;41.139,96;73,0%;97.471,46;0,79%;56.026,96;0,1488;153.498,42; ;
 ;RESULTADO LIQUIDO;605.169,90;4,89%;592.424,77;4,45%;259.069,73;2,09%;-333.355,04;-56,3%;959.069,73;7,75%;119.616,79;0,3178;101.387,76;0,82%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;328.408,44;2,65%;322.119,44;2,42%;299.068,80;2,42%;23.050,64;-7,16%; ; ;144.807,17;0,3847;166.577,21; ;
 ;PRO LABORE TUBERTINO;40.128,90;0,32%;17.206,40;0,13%;10.312,41;0,08;-6.893,99;66,85%; ; ;48.573,00;0,129;58.885,41; ;
 ;PRO LABORE DIEGO;0,00;0,00%;0,00;0,00%;413,35;0,00%;413,35;-100,00%; ; ;31.008,67;0,0824;31.422,02; ;
 ;PRO LABORE THIAGO;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;32.612,75;0,0866;32.612,75; ;
 ;PRO LABORE PATRICIA;32.766,99;0,26%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;143,12; ;32.612,75;0,0866;32.612,75; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;3.173,23;0,02%;4.337,63;0,04%;1.164,40;-26,84%;1.780.013,85; ;0,00;0;4.337,63; ;
 ;TOTAL;-700,00;-0,01%;0,00;0,00%;6.706,65;0,05%;6.706,65;-100,00%;1.779.870,73; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;304,79;0,00%;4.088,15;0,03%;9.258,96;0,07%;5.170,81;-55,85%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;1.004,79;0,01%;4.088,15;0,03%;2.552,31;0,03%;-1.535,84;60,17%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);256.212,55;2,07%;301.739,81;2,27%;277.298,76;2,08%;-24.441,05;-8,10%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;276.761,46;2,24%;270.305,33;2,03%;-39.999,07;-0,32%; ; ; ; ;-25.190,38;-0,0669;-65.189,45;-0,53%;
 ;EMPRESTIMOS E FINANCIAMENTOS;200.969,72;1,62%;219.744,04;1,65%;221.941,66;1,79%; ; ; ; ;2.930,04;;224.871,70; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;75.791,74;0,61%;50.561,29;0,38%;-261.940,73;-2,12%; ; ; ; ;-28.120,42;;-290.061,15; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
