Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Ago/25; ;Jul/26; ;Ago/26; ; ; ;Ago/26; ;Ago/26;;Ago/26; ;
 ;RECEITA BRUTA OPERACIONAL;15.101.824,45; ;18.046.012,42; ;17.846.075,43; ;-199.936,99;-1,1%;17.846.075,43; ;434.390,90;0,0002;18.280.466,33; ;
 ;ABATIMENTOS SOBRE VENDAS;169.616,72; ;459.559,05; ;728.143,08; ;268.584,03;58,44;728.143,08; ;0,00;;728.143,08; ;
 ;RECEITA BRUTA EFETIVA (Produtos);14.932.207,73; ;17.586.453,37; ;17.117.932,35; ;-468.521,02;-2,7%;17.117.932,35; ; ;;17.117.932,35; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;434.390,90;; ; ;
 ;IMPOSTOS SOBRE VENDAS;901.216,28;6,43%;1.088.606,60;6,61%;1.057.115,49;6,60%;-31.491,12;-2,89;1.057.115,49; ;15.855,27;;1.072.970,75; ;
 ;DEVOLUÇÕES DE VENDA;23.248,45; ;32.977,71; ;42.416,42; ; ; ; ; ; ;;42.416,42; ;
 ;RECEITA OPERACIONAL LIQUIDA;14.007.743,00;100,00%;16.464.869,06;100%;16.018.400,44;100%;-446.468,61;-2,7%;16.018.400,44;100%;418.535,63;1;16.002.545,18;100%;
 ;CMV TOTAL;-10.183.152,27;-72,70%;-11.982.810,37;-72,78%;-11.549.413,68;-72,10%;433.396,69;-3,6%;-11.549.413,68;-72,10%;0,00;0;-11.549.413,68;-72,17%;
 ;( - ) Custo Merc Vendidas - Produtos;9.869.080,84;70,45%;11.707.254,74;71,10%;11.278.699,33;70,41%;-428.555,41;-3,7%;11.278.699,33;70,41%;0,00;0;11.278.699,33;70,48%;
 ;CMV Devolução de Vendas;15.736,33;0,11%;23.233,53;0,14%;28.059,54;0,17%;4.826,01;20,77;28.059,54;0,17%;0,00;0;28.059,54;0,17%;
 ;MARGEM DE VENDA;3.824.590,73;27,30%;4.482.058,68;27,22%;4.468.986,76;27,90%;-13.071,92;-0,3%;4.468.986,76;27,90%;418.535,63;1,0379;4.453.131,50;27,83%;
 ;DESPESAS VARIAVEIS;654.942,04;4,68%;727.248,86;4,42%;713.079,92;4,45%;-14.168,94;-1,9%;713.079,92;4,45%;0,00;0;713.079,92;4,46%;
 ;( - ) Despesas c/ vendas;160.247,03;1,14%;150.429,83;0,91%;142.117,66;0,89%;-8.312,17;-5,5%;142.117,66;0,89%;0,00;0;142.117,66;0,89%;
 ;( - ) Despesas c/ vendas - Financeiras;144.501,43;1,03%;165.197,30;1,00%;170.502,25;1,06%;5.304,95;3,2%;170.502,25;0,00;0,00;0;170.502,25;1,07%;
 ;( - ) Perdas de Mercadorias;102.062,10;0,73%;155.723,44;0,95%;174.843,49;1,09%;-11.161,72;12,28%;174.843,49;1,09%;0,00;0;174.843,49;1,09%;
 ;( - ) Falta de Mercadorias;524.206,71;3,74%;634.352,85;3,85%;945.096,03;5,90%;310.743,18;48,99%;945.096,03;5,90%;0,00;0;945.096,03;5,91%;
 ;Sobra de Mercadorias;279.228,65;1,99%;438.622,82;2,66%;380.350,29;2,37%;-58.272,53;-13,29%;380.350,29;2,37%;0,00;0;380.350,29;2,38%;
 ;( - ) PERDAS TOTAL;350.193,58;2,50%;411.621,73;2,50%;400.460,01;2,50%;-11.161,72;-2,7%;400.460,01;2,50%;0,00;0;400.460,01;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;3.169.648,70;22,63%;3.754.809,83;22,80%;3.755.906,84;23,45%;1.097,01;0,0%;3.755.906,84;23,45%;418.535,63;1;3.740.051,57;23,37%;
 ;DESPESAS FIXAS;2.304.665,56;16,45%;2.430.725,13;14,76%;2.702.485,56;16,87%;271.760,43;11,2%;2.702.485,56;16,87%;67.418,58;0,1611;2.622.665,90;16,39%;
 ;( - ) Despesas de Pessoal (Lojas);1.693.973,19;12,09%;1.930.249,04;11,72%;2.250.097,61;14,05%;319.848,57;16,6%;2.250.097,61;14,05%;0,00;0;2.250.097,61;14,06%;
 ;( - ) Despesas de Pessoal (Administrativo);9.350,00;0,07%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;0,00;0,00%;0,00;0;0,00;0,00%;
 ;( - ) Despesas Tributarias;24.143,23;0,17%;55.084,12;0,33%;9.540,54;0,06%;-45.543,58;-82,7%;9.540,54;0,06%;1.372,40;0,0033;10.912,94;0,07%;
