Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Abr/25; ;Mar/26; ;Abr/26; ; ; ;Abr/26; ;Abr/26;;Abr/26; ;
 ;RECEITA BRUTA OPERACIONAL;14.522.978,59; ;14.532.913,53; ;15.038.705,79; ;505.792,26;3,5%;15.038.705,79; ;481.131,43;0,0003;15.519.837,22; ;
 ;ABATIMENTOS SOBRE VENDAS;228.999,84; ;286.901,04; ;381.036,62; ;94.135,58;32,81;381.036,62; ;0,00;;381.036,62; ;
 ;RECEITA BRUTA EFETIVA (Produtos);14.293.978,75; ;14.246.012,49; ;14.657.669,17; ;411.656,68;2,9%;14.657.669,17; ; ;;14.657.669,17; ;
 ;RECEITA DE SERVIÇOS;495.169,43; ;500.669,21; ;113.171,68; ; ; ;0,00; ;481.131,43;; ; ;
 ;IMPOSTOS SOBRE VENDAS;868.669,47;6,73%;862.416,68;6,71%;850.825,36;6,23%;-11.591,32;-1,34;850.825,36; ;17.561,30;;868.386,65; ;
 ;DEVOLUÇÕES DE VENDA;27.391,95; ;22.874,56; ;32.688,78; ; ; ; ; ; ;;32.688,78; ;
 ;RECEITA OPERACIONAL LIQUIDA;12.902.747,90;100,00%;12.860.052,04;100%;13.660.983,35;100%;800.931,31;6,2%;13.774.155,03;100%;463.570,13;1;13.756.593,74;100%;
 ;CMV TOTAL;-9.267.562,73;-71,83%;-9.222.776,39;-71,72%;-10.014.906,67;-73,31%;-792.130,28;8,6%;-10.128.078,35;-73,53%;0,00;0;-10.014.906,67;-72,80%;
 ;( - ) Custo Merc Vendidas - Produtos;9.472.530,53;73,41%;9.465.916,85;73,61%;9.889.275,18;72,39%;423.358,33;4,5%;9.889.275,18;71,80%;0,00;0;9.889.275,18;71,89%;
 ;CMV Devolução de Vendas;18.075,76;0,14%;14.444,58;0,11%;21.984,92;0,17%;7.540,35;52,20;21.984,92;0,17%;0,00;0;21.984,92;0,17%;
 ;MARGEM DE VENDA;3.635.185,17;28,17%;3.637.275,65;28,28%;3.646.076,68;26,69%;8.801,03;0,2%;3.646.076,68;26,47%;463.570,13;1,0379;3.628.515,38;26,38%;
 ;DESPESAS VARIAVEIS;690.434,93;5,35%;641.372,15;4,99%;611.046,27;4,47%;-30.325,89;-4,7%;611.046,27;4,44%;0,00;0;611.046,27;4,44%;
 ;( - ) Despesas c/ vendas;201.869,21;1,56%;135.047,41;1,05%;118.920,44;0,87%;-16.126,97;-11,9%;118.920,44;0,86%;0,00;0;118.920,44;0,86%;
 ;( - ) Despesas c/ vendas - Financeiras;153.617,79;1,19%;172.306,71;1,34%;147.771,95;1,08%;-24.534,76;-14,2%;147.771,95;0,00;0,00;0;147.771,95;1,07%;
 ;( - ) Perdas de Mercadorias;130.598,59;1,01%;164.085,07;1,28%;133.527,63;0,98%;10.335,84;-18,62%;133.527,63;0,97%;0,00;0;133.527,63;0,97%;
 ;( - ) Falta de Mercadorias;412.204,42;3,19%;1.020.320,33;7,93%;517.216,87;3,79%;-503.103,46;-49,31%;517.216,87;3,75%;0,00;0;517.216,87;3,76%;
 ;Sobra de Mercadorias;189.649,41;1,47%;614.210,61;4,78%;414.374,58;3,03%;-199.836,03;-32,54%;414.374,58;3,01%;0,00;0;414.374,58;3,01%;
 ;( - ) PERDAS TOTAL;334.947,93;2,60%;334.018,03;2,60%;344.353,88;2,52%;10.335,84;3,1%;344.353,88;2,50%;0,00;0;344.353,88;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.944.750,24;22,82%;2.995.903,50;23,30%;3.035.030,41;22,22%;39.126,91;1,3%;3.035.030,41;22,03%;463.570,13;1;3.017.469,12;21,93%;
 ;DESPESAS FIXAS;2.100.057,50;16,28%;2.280.239,31;17,73%;2.346.677,84;17,18%;66.438,53;2,9%;2.332.117,49;16,93%;71.745,35;0,1548;2.236.709,02;16,26%;
