Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mar/24; ;Fev/25; ;Mar/25; ; ; ;Mar/25; ;Mar/25;;Mar/25; ;
 ;( - ) Despesas Gerais;11.374,64;0,42%;34.687,70;0,28%;36.324,91;0,26%;1.637,21;4,7%;36.324,91;0,26%;0,00;0;36.324,91;0,04%;
 ;( +) Outras Receitas;51.788,99;0,42%;38.384,73;0,31%;12.955,00;0,09%;-25.429,73;-66,2%;12.955,00;0,09%;3,90;0;12.958,90;0,09%;
 ;( +) Bonificação Recebidas;51.738,86;0,42%;70.069,22;0,57%;40.180,48;0,29%;-29.888,74;-42,66;40.180,48;0,29%;0,00;0;40.180,48;0,29%;
 ;DESPESAS OPERACIONAIS;2.424.665,31;19,65%;2.733.490,11;22,17%;2.920.083,22;21,19%;186.593,11;6,8%;2.920.083,22;21,19%;74.438,69;0,1901;2.882.772,68;20,94%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;815.928,09;6,61%;710.957,26;5,77%;941.808,02;6,83%;230.850,76;32,5%;941.808,02;6,83%;317.204,10;0,8099;964.282,06;7,00%;
 ;( - ) Depreciação / Amortização;86.364,58;0,70%;86.324,48;0,70%;96.474,63;0,70%;10.150,15;11,8%;96.474,63;0,70%;2.741,50;0,007;99.216,13; ;
 ;EBIT;729.563,51;5,91%;624.632,78;5,07%;845.333,39;6,13%;220.700,61;35,3%;845.333,39;6,13%;314.462,60;0,8029;865.065,93;6,28%;
 ;( - ) Resultado Financeiro;60.759,38;0,49%;36.579,21;0,30%;33.563,26;0,00%;-3.015,95;-8,2%;33.563,26;0,24%;5.486,76;0,014;39.050,02; ;
 ;RESULTADO DO PERIODO;668.804,13;5,42%;588.053,57;4,77%;811.770,13;5,89%;223.716,56;38,0%;811.770,13;5,89%;308.975,84;0,7889;826.015,91;6,00%;
 ;( - ) IRPJ / CSLL;67.395,93;0,55%;43.069,15;0,35%;57.827,53;0,42%;14.758,38;34,3%;57.827,53;0,42%;51.847,91;0,1324;109.675,44; ;
