Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Jul/24; ;Jun/25; ;Jul/25; ; ; ;Jul/25; ;Jul/25;;Jul/25; ;
 ;RECEITA BRUTA OPERACIONAL;13.926.100,79; ;14.946.277,07; ;15.568.001,14; ;621.724,07;4,2%;15.568.001,14; ;415.545,94;0,0003;15.983.547,08; ;
 ;ABATIMENTOS SOBRE VENDAS;190.610,62; ;270.208,16; ;480.852,75; ;210.644,59;77,96;480.852,75; ;0,00;;480.852,75; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.735.490,17; ;14.676.068,91; ;15.087.148,39; ;411.079,48;2,8%;15.087.148,39; ; ;;15.087.148,39; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;415.545,94;; ; ;
 ;IMPOSTOS SOBRE VENDAS;838.490,67;6,52%;890.425,68;6,47%;914.563,60;6,47%;24.137,92;2,71;914.563,60; ;15.167,43;;929.731,02; ;
 ;DEVOLUÇÕES DE VENDA;45.572,71; ;24.429,97; ;44.392,89; ; ; ; ; ; ;;44.392,89; ;
 ;RECEITA OPERACIONAL LIQUIDA;12.851.426,79;100,00%;13.761.213,26;100%;14.128.191,90;100%;366.978,64;2,7%;14.128.191,90;100%;400.378,51;1;14.113.024,48;100%;
 ;CMV TOTAL;-9.458.585,84;-73,60%;-10.110.336,62;-73,47%;-10.265.367,09;-72,66%;-155.030,47;1,5%;-10.265.367,09;-72,66%;0,00;0;-10.265.367,09;-72,74%;
 ;( - ) Custo Merc Vendidas - Produtos;9.209.136,82;71,66%;9.859.422,34;71,65%;10.018.220,68;70,91%;158.798,34;1,6%;10.018.220,68;70,91%;0,00;0;10.018.220,68;70,99%;
 ;CMV Devolução de Vendas;33.869,63;0,26%;16.697,28;0,12%;31.017,36;0,23%;14.320,08;85,76;31.017,36;0,23%;0,00;0;31.017,36;0,23%;
 ;MARGEM DE VENDA;3.392.840,95;26,40%;3.650.876,64;26,53%;3.862.824,81;27,34%;211.948,17;5,8%;3.862.824,81;27,34%;400.378,51;1,0379;3.847.657,38;27,26%;
 ;DESPESAS VARIAVEIS;601.689,04;4,68%;702.113,47;5,10%;700.281,44;4,96%;-1.832,03;-0,3%;700.281,44;4,96%;0,00;0;700.281,44;4,96%;
 ;( - ) Despesas c/ vendas;128.079,34;1,00%;207.246,69;1,51%;190.437,52;1,35%;-16.809,17;-8,1%;190.437,52;1,35%;0,00;0;190.437,52;1,35%;
 ;( - ) Despesas c/ vendas - Financeiras;152.324,03;1,19%;150.836,45;1,10%;156.639,12;1,11%;5.802,67;3,8%;156.639,12;0,00;0,00;0;156.639,12;1,11%;
 ;( - ) Perdas de Mercadorias;146.823,89;1,14%;99.046,45;0,72%;113.143,89;0,80%;9.174,47;14,23%;113.143,89;0,80%;0,00;0;113.143,89;0,80%;
 ;( - ) Falta de Mercadorias;451.922,36;3,52%;346.237,22;2,52%;834.062,68;5,90%;487.825,46;140,89%;834.062,68;5,90%;0,00;0;834.062,68;5,91%;
 ;Sobra de Mercadorias;250.802,93;1,95%;185.397,71;1,35%;661.031,32;4,68%;475.633,61;256,55%;661.031,32;4,68%;0,00;0;661.031,32;4,68%;
 ;( - ) PERDAS TOTAL;321.285,67;2,50%;344.030,33;2,50%;353.204,80;2,50%;9.174,47;2,7%;353.204,80;2,50%;0,00;0;353.204,80;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.791.151,91;21,72%;2.948.763,17;21,43%;3.162.543,37;22,38%;213.780,20;7,2%;3.162.543,37;22,38%;400.378,51;1;3.147.375,95;22,30%;
 ;DESPESAS FIXAS;1.787.521,12;13,91%;2.140.348,58;15,55%;2.078.292,22;14,71%;-62.056,36;-2,9%;2.078.292,22;14,71%;121.733,28;0,304;2.089.200,43;14,80%;
 ;( - ) Despesas de Pessoal (Lojas);1.242.937,28;9,67%;1.646.812,97;11,97%;1.585.761,35;11,22%;-61.051,62;-3,7%;1.585.761,35;11,22%;0,00;0;1.585.761,35;11,33%;
 ;( - ) Despesas de Pessoal (Administrativo);96.907,41;0,75%;9.350,00;0,07%;12.986,00;0,09%;3.636,00;38,89%;12.986,00;0,09%;0,00;0;12.986,00;0,09%;
 ;( - ) Despesas Tributarias;67.405,21;0,52%;21.990,47;0,16%;72.279,76;0,51%;50.289,29;228,7%;72.279,76;0,51%;12.265,38;0,0306;84.545,14;0,60%;
