Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mai/25; ;Abr/26; ;Mai/26; ; ; ;Mai/26; ;Mai/26;;Mai/26; ;
 ;( - ) Despesas Gerais;22.532,75;0,28%;25.184,80;0,18%;25.045,99;0,18%;-138,81;-0,6%;25.045,99;0,18%;0,00;0;25.045,99;0,18%;
 ;( +) Outras Receitas;37.758,94;0,28%;26.776,65;0,19%;40.305,83;0,29%;13.529,18;50,5%;40.305,83;0,29%;10,20;0;40.316,03;0,29%;
 ;( +) Bonificação Recebidas;66.468,61;0,48%;65.397,55;0,47%;74.964,06;0,55%;9.566,51;14,63;74.964,06;0,55%;0,00;0;74.964,06;0,55%;
 ;DESPESAS OPERACIONAIS;2.797.845,08;20,40%;2.885.978,76;20,95%;2.642.142,91;19,23%;-243.835,85;-8,4%;2.642.142,91;19,23%;62.592,16;0;2.704.735,07;19,69%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;956.536,34;6,97%;758.732,28;5,51%;1.166.562,09;8,49%;407.829,81;53,8%;1.166.562,09;8,49%;-62.592,16;0;1.103.969,93;8,04%;
 ;( - ) Depreciação / Amortização;96.002,81;0,70%;96.419,09;0,70%;96.171,91;0,70%;-247,18;-0,3%;96.171,91;0,70%;0,00;0;96.171,91; ;
 ;EBIT;860.533,53;6,27%;662.313,19;4,81%;1.070.390,18;7,79%;408.076,99;61,6%;1.070.390,18;7,79%;-62.592,16;0;1.007.798,02;7,34%;
 ;( - ) Resultado Financeiro;44.968,34;0,33%;31.019,62;0,23%;19.882,66;0,00%;-11.136,96;-35,9%;19.882,66;0,14%;3.890,58;0;23.773,24; ;
 ;RESULTADO DO PERIODO;815.565,19;5,95%;631.293,57;4,58%;1.050.507,52;7,65%;419.213,95;66,4%;1.050.507,52;7,65%;-66.482,74;0;984.024,78;7,16%;
 ;( - ) IRPJ / CSLL;54.744,52;0,40%;58.711,50;0,43%;0,00;0,00%;-58.711,50;-100,0%;0,00;0,00%;51.706,17;0;51.706,17; ;
 ;RESULTADO LIQUIDO;760.820,67;5,55%;572.582,07;4,16%;1.050.507,52;7,65%;477.925,45;83,5%;1.050.507,52;7,65%;-118.188,91;0;932.318,61;6,79%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;384.350,52;2,80%;341.186,91;2,48%;15.716,77;0,11%;325.470,14;-95,39%; ; ;187.345,72;0;203.062,49; ;
 ;PRO LABORE TUBERTINO;38.619,37;0,28%;20.111,31;0,15%;12.914,72;0,09;-7.196,59;55,72%; ; ;50.526,60;0;63.441,32; ;
