Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Jun/24; ;Mai/25; ;Jun/25; ; ; ;Jun/25; ;Jun/25;;Jun/25; ;
 ;( - ) Despesas Gerais;6.563,09;0,27%;18.666,46;0,14%;22.214,06;0,16%;3.547,60;19,0%;22.214,06;0,16%;0,00;0;22.214,06;0,14%;
 ;( +) Outras Receitas;35.094,52;0,27%;37.758,94;0,28%;24.767,28;0,18%;-12.991,66;-34,4%;24.767,28;0,18%;4,50;0;24.771,78;0,18%;
 ;( +) Bonificação Recebidas;118.145,97;0,91%;66.468,61;0,49%;80.793,10;0,59%;14.324,49;21,55;80.793,10;0,59%;0,00;0;80.793,10;0,59%;
 ;DESPESAS OPERACIONAIS;2.437.613,42;18,69%;2.809.639,73;20,58%;2.842.462,05;20,66%;32.822,33;1,2%;2.842.462,05;20,66%;13.910,20;0,0355;2.744.596,10;19,97%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;1.015.242,35;7,79%;946.194,06;6,93%;808.414,59;5,87%;-137.779,46;-14,6%;808.414,59;5,87%;377.478,10;0,9645;891.453,69;6,49%;
 ;( - ) Depreciação / Amortização;91.277,92;0,70%;95.545,82;0,70%;96.328,49;0,70%;782,67;0,8%;96.328,49;0,70%;2.739,72;0,007;99.068,21; ;
 ;EBIT;923.964,43;7,09%;850.648,24;6,23%;712.086,10;5,17%;-138.562,14;-16,3%;712.086,10;5,17%;374.738,38;0,9575;792.385,48;5,76%;
 ;( - ) Resultado Financeiro;72.978,60;0,56%;37.775,80;0,28%;28.001,12;0,00%;-9.774,68;-25,9%;28.001,12;0,20%;48,81;0,0001;28.049,93; ;
 ;RESULTADO DO PERIODO;850.985,83;6,53%;812.872,44;5,96%;684.084,98;4,97%;-128.787,46;-15,8%;684.084,98;4,97%;374.689,57;0,9573;764.335,55;5,56%;
 ;( - ) IRPJ / CSLL;75.175,35;0,58%;54.744,52;0,40%;58.031,50;0,42%;3.286,98;6,0%;58.031,50;0,42%;49.592,53;0,1267;107.624,03; ;
 ;RESULTADO LIQUIDO;775.810,48;5,95%;758.127,92;5,55%;626.053,48;4,55%;-132.074,44;-17,4%;626.053,48;4,55%;325.097,04;0,8306;656.711,52;4,78%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;274.085,77;2,10%;384.350,52;2,82%;381.314,50;2,77%;3.036,02;-0,79%; ; ;136.995,60;0,35;223.871,10; ;
 ;PRO LABORE TUBERTINO;48.605,09;0,37%;38.619,37;0,28%;30.098,48;0,22;-8.520,89;28,31%; ; ;30.300,00;0,0774;60.398,48; ;
 ;PRO LABORE DIEGO;60,00;0,00%;635,10;0,00%;0,00;0,00%;-635,10;-100,00%; ; ;34.800,00;0,0889;34.800,00; ;
 ;PRO LABORE THIAGO;0,00;0,00%;200,00;0,00%;0,00;0,00%;-200,00;-100,00%; ; ;35.947,80;0,0918;35.947,80; ;
