Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Outubro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;out/24; ;set/25; ;out/25; ; ; ;out/25; ;out/25;;out/25; ;
 ;( +) Outras Receitas;66.588,38;0,51%;33.298,41;0,25%;151.367,53;1,07%;118.069,12;354,60%;151.367,53;1,07%;11,4;0;151.378,93;1,07%;
 ;( +) Bonificação Recebidas;165.097,11;1,27%;97.776,36;0,73%;112.901,42;0,80%;15.125,06;15,47;112.901,42;0,80%;0;0;112.901,42;0,80%;
 ;DESPESAS OPERACIONAIS;2.488.454,65;19,10%;2.896.717,69;21,58%;2.647.945,98;18,74%;-248.771,71;-8,60%;2.647.945,98;18,74%;1.351,12;0,0032;2.540.218,34;18,00%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;856.821,95;6,58%;878.515,10;6,55%;1.320.076,94;9,34%;441.561,85;50,30%;1.320.076,94;9,34%;415.534,73;0,9968;1.412.011,81;10,00%;
 ;( - ) Depreciação / Amortização;91.211,35;0,70%;93.949,09;0,70%;98.902,47;0,70%;4.953,37;5,30%;98.902,47;0,70%;2.918,20;0,007;101.820,67; ;
 ;EBIT;765.610,60;5,88%;784.566,00;5,85%;1.221.174,48;8,64%;436.608,47;55,60%;1.221.174,48;8,64%;412.616,53;0,9898;1.310.191,15;9,28%;
 ;( - ) Resultado Financeiro;58.214,81;0,45%;26.067,14;0,19%;20.612,04;0,00%;-5.455,10;-20,90%;20.612,04;0,15%;2.481,12;0,006;18.130,92; ;
 ;RESULTADO DO PERIODO;707.395,79;5,43%;758.498,86;5,65%;1.200.562,44;8,50%;442.063,57;58,30%;1.200.562,44;8,50%;410.135,41;0,9838;1.292.060,23;9,16%;
 ;( - ) IRPJ / CSLL;47.944,83;0,37%;69.577,93;0,52%;66.871,53;0,47%;-2.706,40;-3,90%;66.871,53;0,47%;53.190,30;0,1276;120.061,83; ;
 ;RESULTADO LIQUIDO;659.450,96;5,06%;688.920,93;5,13%;1.133.690,91;8,02%;444.769,97;64,60%;1.133.690,91;8,02%;356.945,11;0,8562;1.171.998,40;8,30%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;359.199,82;2,76%;385.418,06;2,87%;447.785,79;3,17%;-62.367,73;16,18%; ; ;82.973,50;0,199;207.159,43; ;
 ;PRO LABORE TUBERTINO;42.048,19;0,32%;63.548,34;0,47%;93.192,07;0,66;29.643,73;-31,81%; ; ;18.000,00;0,0432;111.192,07; ;
 ;PRO LABORE DIEGO;81;0,00%;13,25;0,00%;0;0,00%;-13,25;-100,00%; ; ;15.000,00;0,036;15.000,00; ;
 ;PRO LABORE THIAGO;0;0,00%;0;0,00%;0;0,00%;0;-100,00%; ; ;24.986,75;0,0599;24.986,75; ;
 ;PRO LABORE PATRICIA;64.423,30;0,49%;0;0,00%;50;0,00%;50;-100,00%;3.169,64; ;24.986,75;0,0599;25.036,75; ;
 ;PRO LABORE EMPRESA;0;0,00%;16.206,64;0,12%;30.943,86;0,22%;14.737,22;-47,63%;1.665.226,30; ;0;0;30.943,86; ;
 ;TOTAL;-1.028,69;-0,01%;0;0,00%;0;0,00%;0;-100,00%;1.662.056,66; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;3.865,42;0,03%;3.081,70;0,02%;1.872,42;0,01%;-1.209,28;64,58%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;4.894,11;0,04%;3.081,70;0,02%;1.872,42;0,02%;-1.209,28;64,58%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);253.676,02;1,95%;305.649,83;2,28%;323.599,86;2,41%;17.950,03;5,87%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;300.251,14;2,30%;303.502,87;2,26%;685.905,12;4,85%; ; ; ; ;273.971,61;0,6572;964.838,97;6,84%;
 ;EMPRESTIMOS E FINANCIAMENTOS;193.500,58;1,49%;212.804,02;1,59%;214.583,88;1,52%; ; ; ; ;2.485,09;;217.068,97; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;106.750,56;0,82%;90.698,85;0,68%;471.321,24;3,34%; ; ; ; ;271.486,52;;747.770,00; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;10.921.922,61;77,30%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;4.253.926,73; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.576.215,03; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;218.646,05; ; ; ; ; ; ; ; ; ; ;; ; ;
