Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Nov/24; ;Out/25; ;Nov/25; ; ; ;Nov/25; ;Nov/25;;Nov/25; ;
 ;( - ) Despesas Gerais;2.483,54;0,28%;23.396,40;0,17%;26.093,52;0,19%;2.697,12;11,5%;26.093,52;0,19%;0,00;0;26.093,52;0,12%;
 ;( +) Outras Receitas;39.049,72;0,28%;151.367,53;1,07%;56.776,81;0,42%;-94.590,72;-62,5%;56.776,81;0,42%;5,70;0;56.782,51;0,42%;
 ;( +) Bonificação Recebidas;124.739,74;0,90%;112.901,42;0,80%;64.969,61;0,48%;-47.931,81;-42,45;64.969,61;0,48%;0,00;0;64.969,61;0,48%;
 ;DESPESAS OPERACIONAIS;2.867.438,31;20,73%;2.647.945,98;18,74%;2.984.875,08;22,03%;336.929,10;12,7%;2.984.875,08;22,03%;59.422,49;0,1474;2.933.759,26;21,68%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;529.657,30;3,83%;1.320.076,94;9,34%;489.048,93;3,61%;-831.028,01;-63,0%;489.048,93;3,61%;343.666,91;0,8526;524.894,63;3,88%;
 ;( - ) Depreciação / Amortização;96.812,64;0,70%;98.902,47;0,70%;94.822,73;0,70%;-4.079,74;-4,1%;94.822,73;0,70%;2.821,63;0,007;97.644,35; ;
 ;EBIT;432.844,66;3,13%;1.221.174,48;8,64%;394.226,21;2,91%;-826.948,27;-67,7%;394.226,21;2,91%;340.845,28;0,8456;427.250,28;3,16%;
 ;( - ) Resultado Financeiro;59.767,82;0,43%;20.612,04;0,15%;22.829,00;0,00%;2.216,96;10,8%;22.829,00;0,17%;26,43;0,0001;22.802,57; ;
 ;RESULTADO DO PERIODO;373.076,84;2,70%;1.200.562,44;8,50%;371.397,21;2,74%;-829.165,23;-69,1%;371.397,21;2,74%;340.818,85;0,8455;404.447,71;2,99%;
 ;( - ) IRPJ / CSLL;52.275,08;0,38%;66.871,53;0,47%;40.964,21;0,30%;-25.907,32;-38,7%;40.964,21;0,30%;53.190,30;0,132;94.154,51; ;
 ;RESULTADO LIQUIDO;320.801,76;2,32%;1.133.690,91;8,02%;330.433,00;2,44%;-803.257,91;-70,9%;330.433,00;2,44%;287.628,55;0,7136;310.293,20;2,29%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;377.986,32;2,73%;447.785,79;3,17%;417.791,33;3,08%;29.994,46;-6,70%; ; ;99.669,70;0,2473;209.639,82; ;
 ;PRO LABORE TUBERTINO;34.203,33;0,25%;93.192,07;0,66%;81.807,39;0,60;-11.384,68;13,92%; ; ;20.000,00;0,0496;101.807,39; ;
 ;PRO LABORE DIEGO;516,72;0,00%;0,00;0,00%;165,15;0,00%;165,15;-100,00%; ; ;30.000,00;0,0744;30.165,15; ;
 ;PRO LABORE THIAGO;1.273,94;0,01%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;24.834,85;0,0616;24.834,85; ;
 ;PRO LABORE PATRICIA;65.919,00;0,48%;50,00;0,00%;0,00;0,00%;-50,00;-100,00%;6.103,15; ;24.834,85;0,0616;24.834,85; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;30.943,86;0,22%;27.997,58;0,21%;-2.946,28;10,52%;1.756.447,79; ;0,00;0;27.997,58; ;
 ;TOTAL;1.905,20;0,01%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;1.750.344,64; ; ;; ; ;
