Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Abr/24; ;Mar/25; ;Abr/25; ; ; ;Abr/25; ;Abr/25;;Abr/25; ;
 ;( - ) Despesas Honorarios Terceiros;25.861,50;0,22%;67.848,32;0,49%;54.058,33;0,41%;-13.789,99;-20,3%;54.058,33;0,41%;0,00;0;54.058,33;0,41%;
 ;( - ) Despesas Material Expediente;39.141,79;0,33%;22.995,42;0,17%;30.616,05;0,23%;7.620,63;33,1%;30.616,05;0,23%;0,00;0;30.616,05;0,23%;
 ;( - ) Despesas de Marketing;85.333,18;0,73%;71.677,50;0,52%;96.252,13;0,72%;24.574,63;34,3%;96.252,13;0,72%;0,00;0;96.252,13;0,72%;
 ;( - ) Despesas com Veiculos;14.220,14;0,12%;28.651,96;0,21%;17.299,38;0,13%;-11.352,58;-39,6%;17.299,38;0,13%;31,20;0,0001;17.330,58;0,13%;
 ;( - ) Alugueis;149.338,41;1,28%;111.749,23;0,81%;112.808,63;0,85%;1.059,40;0,9%;112.808,63;0,85%;0,00;0;0,00;0,85%;
 ;( - ) Despesas Gerais;7.715,95;0,16%;36.324,91;0,26%;24.655,72;0,18%;-11.669,19;-32,1%;24.655,72;0,18%;0,00;0;24.655,72;0,12%;
 ;( +) Outras Receitas;18.571,05;0,16%;12.955,00;0,09%;42.395,12;0,32%;29.440,12;227,2%;42.395,12;0,32%;7,20;0;42.402,32;0,32%;
 ;( +) Bonificação Recebidas;50.494,90;0,43%;40.180,48;0,29%;88.934,83;0,67%;48.754,35;121,34;88.934,83;0,67%;0,00;0;88.934,83;0,67%;
 ;DESPESAS OPERACIONAIS;2.498.624,84;21,34%;2.920.083,22;21,19%;2.809.302,90;21,07%;-110.780,32;-3,8%;2.809.302,90;21,07%;10.470,69;0,0274;2.706.964,96;20,32%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;632.864,70;5,40%;941.808,02;6,83%;825.882,27;6,19%;-115.925,75;-12,3%;825.882,27;6,19%;371.157,93;0,9726;913.763,08;6,86%;
