Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mai/24; ;Abr/25; ;Mai/25; ; ; ;Mai/25; ;Mai/25;;Mai/25; ;
 ;RECEITA BRUTA OPERACIONAL;13.672.600,27; ;14.541.039,77; ;14.850.511,70; ;309.471,93;2,1%;14.850.511,70; ;404.197,75;0,0003;15.254.709,45; ;
 ;ABATIMENTOS SOBRE VENDAS;220.931,36; ;311.309,61; ;263.197,96; ;-48.111,65;-15,45;263.197,96; ;0,00;;263.197,96; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.451.668,91; ;14.229.730,16; ;14.587.313,74; ;357.583,58;2,5%;14.587.313,74; ; ;;14.587.313,74; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;404.197,75;; ; ;
 ;IMPOSTOS SOBRE VENDAS;809.886,84;6,43%;868.669,47;6,51%;890.262,75;6,52%;21.593,29;2,49;890.262,75; ;14.753,22;;905.015,97; ;
 ;DEVOLUÇÕES DE VENDA;50.150,00; ;27.391,95; ;47.648,33; ; ; ; ; ; ;;47.648,33; ;
 ;RECEITA OPERACIONAL LIQUIDA;12.591.632,07;100,00%;13.333.668,74;100%;13.649.402,66;100%;315.733,91;2,4%;13.649.402,66;100%;389.444,53;1;13.634.649,44;100%;
 ;CMV TOTAL;-9.232.421,42;-73,32%;-9.698.483,57;-72,74%;-9.893.568,87;-72,48%;-195.085,30;2,0%;-9.893.568,87;-72,48%;0,00;0;-9.893.568,87;-72,56%;
 ;( - ) Custo Merc Vendidas - Produtos;8.961.566,04;71,17%;9.472.530,53;71,04%;9.636.599,60;70,60%;164.069,08;1,7%;9.636.599,60;70,60%;0,00;0;9.636.599,60;70,68%;
 ;CMV Devolução de Vendas;37.576,58;0,30%;18.075,76;0,14%;37.693,79;0,28%;19.618,03;108,53;37.693,79;0,28%;0,00;0;37.693,79;0,28%;
 ;MARGEM DE VENDA;3.359.210,65;26,68%;3.635.185,17;27,26%;3.755.833,78;27,52%;120.648,61;3,3%;3.755.833,78;27,52%;389.444,53;1,0379;3.741.080,56;27,44%;
 ;DESPESAS VARIAVEIS;580.482,39;4,61%;695.967,09;5,22%;657.712,75;4,82%;-38.254,34;-5,5%;657.712,75;4,82%;0,00;0;657.712,75;4,82%;
 ;( - ) Despesas c/ vendas;131.925,05;1,05%;201.869,21;1,51%;169.027,10;1,24%;-32.842,11;-16,3%;169.027,10;1,24%;0,00;0;169.027,10;1,24%;
 ;( - ) Despesas c/ vendas - Financeiras;133.766,54;1,06%;160.756,16;1,21%;147.450,58;1,08%;-13.305,58;-8,3%;147.450,58;0,00;0,00;0;147.450,58;1,08%;
 ;( - ) Perdas de Mercadorias;159.159,84;1,26%;130.598,59;0,98%;126.004,04;0,92%;7.893,35;-3,52%;126.004,04;0,92%;0,00;0;126.004,04;0,92%;
 ;( - ) Falta de Mercadorias;558.203,52;4,43%;412.204,42;3,09%;325.567,52;2,39%;-86.636,90;-21,02%;325.567,52;2,39%;0,00;0;325.567,52;2,39%;
 ;Sobra de Mercadorias;354.109,10;2,81%;189.649,41;1,42%;187.240,27;1,37%;-2.409,14;-1,27%;187.240,27;1,37%;0,00;0;187.240,27;1,37%;
 ;( - ) PERDAS TOTAL;314.790,80;2,50%;333.341,72;2,50%;341.235,07;2,50%;7.893,35;2,4%;341.235,07;2,50%;0,00;0;341.235,07;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.778.728,26;22,07%;2.939.218,08;22,04%;3.098.121,03;22,70%;158.902,95;5,4%;3.098.121,03;22,70%;389.444,53;1;3.083.367,82;22,61%;
 ;DESPESAS FIXAS;2.028.479,30;16,11%;2.113.335,81;15,85%;2.151.926,98;15,77%;38.591,17;1,8%;2.151.926,98;15,77%;123.746,27;0,3178;2.163.691,46;15,87%;
 ;( - ) Despesas de Pessoal (Lojas);1.300.367,95;10,33%;1.560.126,84;11,70%;1.699.318,00;12,45%;139.191,16;8,9%;1.699.318,00;12,45%;0,00;0;1.699.318,00;12,46%;
 ;( - ) Despesas de Pessoal (Administrativo);95.327,57;0,76%;118.831,04;0,89%;0,00;0,00%;-118.831,04;-100,00%;0,00;0,00%;0,00;0;0,00;0,00%;
 ;( - ) Despesas Tributarias;11.250,53;0,09%;6.443,70;0,05%;14.096,02;0,10%;7.652,32;118,8%;14.096,02;0,10%;14.314,78;0,0368;28.410,80;0,21%;
 ;( - ) Despesas com Utilidades;116.255,49;0,92%;133.639,97;1,00%;122.109,03;0,89%;-11.530,94;-8,6%;122.109,03;0,89%;1.158,77;0,003;123.267,80;0,90%;
 ;( - ) Despesas Manutenção;139.873,39;1,11%;54.060,93;0,41%;59.523,55;0,44%;5.462,62;10,1%;59.523,55;0,44%;0,00;0;59.523,55;0,44%;
 ;( - ) Despesas Informática (T.I.);54.158,79;0,43%;35.873,04;0,27%;70.633,97;0,52%;34.760,93;96,9%;70.633,97;0,52%;0,00;0;70.633,97;0,52%;
 ;( - ) Despesas Honorarios Terceiros;25.884,17;0,21%;54.058,33;0,41%;50.362,15;0,37%;-3.696,18;-6,8%;50.362,15;0,37%;0,00;0;50.362,15;0,37%;
 ;( - ) Despesas Material Expediente;21.719,83;0,17%;30.616,05;0,23%;33.140,38;0,24%;2.524,33;8,2%;33.140,38;0,24%;0,00;0;33.140,38;0,24%;
 ;( - ) Despesas de Marketing;147.525,28;1,17%;96.252,13;0,72%;58.630,88;0,43%;-37.621,25;-39,1%;58.630,88;0,43%;0,00;0;58.630,88;0,43%;
 ;( - ) Despesas com Veiculos;30.028,35;0,24%;17.299,38;0,13%;17.692,30;0,13%;392,92;2,3%;17.692,30;0,13%;322,40;0,0008;18.014,70;0,13%;
 ;( - ) Alugueis;149.338,41;1,19%;112.808,63;0,85%;111.981,79;0,82%;-826,84;-0,7%;111.981,79;0,82%;108.062,00;0,2775;108.062,00;1,61%;
 ;( - ) Despesas Gerais;17.453,24;0,37%;24.655,72;0,18%;18.666,46;0,14%;-5.989,26;-24,3%;18.666,46;0,14%;0,00;0;18.666,46;0,17%;
 ;( +) Outras Receitas;46.432,33;0,37%;42.395,12;0,32%;37.758,94;0,28%;-4.636,18;-10,9%;37.758,94;0,28%;111,68;0,0003;37.870,62;0,28%;
