Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Ago/24; ;Jul/25; ;Ago/25; ; ; ;Ago/25; ;Ago/25;;Ago/25; ;
 ;( - ) Despesas Gerais;688,67;0,78%;25.889,43;0,18%;24.948,24;0,18%;-941,19;-3,6%;24.948,24;0,18%;0,00;0;24.948,24;0,12%;
 ;( +) Outras Receitas;102.715,14;0,78%;66.365,58;0,47%;44.649,55;0,32%;-21.716,03;-32,7%;44.649,55;0,32%;5,40;0;44.654,95;0,32%;
 ;( +) Bonificação Recebidas;97.212,61;0,74%;198.109,40;1,40%;132.791,64;0,95%;-65.317,76;-32,97;132.791,64;0,95%;0,00;0;132.791,64;0,95%;
 ;DESPESAS OPERACIONAIS;2.360.586,25;17,96%;2.778.573,66;19,67%;2.973.286,74;21,33%;194.713,09;7,0%;2.973.286,74;21,33%;77.144,50;0,195;2.939.096,06;21,10%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;1.167.344,37;8,88%;1.084.251,15;7,67%;852.703,19;6,12%;-231.547,97;-21,4%;852.703,19;6,12%;318.412,08;0,805;871.909,11;6,26%;
 ;( - ) Depreciação / Amortização;92.028,20;0,70%;98.897,34;0,70%;97.596,54;0,70%;-1.300,81;-1,3%;97.596,54;0,70%;2.768,90;0,007;100.365,43; ;
 ;EBIT;1.075.316,16;8,18%;985.353,81;6,97%;755.106,65;5,42%;-230.247,16;-23,4%;755.106,65;5,42%;315.643,19;0,798;771.543,68;5,54%;
 ;( - ) Resultado Financeiro;71.921,60;0,55%;26.338,86;0,19%;24.889,67;0,00%;-1.449,19;-5,5%;24.889,67;0,18%;2.556,35;0,0065;27.446,02; ;
 ;RESULTADO DO PERIODO;1.003.394,56;7,63%;959.014,95;6,79%;730.216,98;5,24%;-228.797,97;-23,9%;730.216,98;5,24%;313.086,84;0,7915;744.097,66;5,34%;
 ;( - ) IRPJ / CSLL;44.117,37;0,34%;71.317,37;0,50%;51.165,57;0,37%;-20.151,80;-28,3%;51.165,57;0,37%;52.601,50;0,133;103.767,07; ;
 ;RESULTADO LIQUIDO;959.277,19;7,30%;887.697,58;6,28%;679.051,41;4,87%;-208.646,17;-23,5%;679.051,41;4,87%;260.485,34;0,6585;640.330,59;4,60%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;344.599,10;2,62%;400.163,71;2,83%;397.934,44;2,85%;2.229,27;-0,56%; ; ;82.693,00;0,2091;181.421,28; ;
 ;PRO LABORE TUBERTINO;34.456,84;0,26%;36.108,69;0,26%;68.650,75;0,49;32.542,06;-47,40%; ; ;33.000,00;0,0834;101.650,75; ;
 ;PRO LABORE DIEGO;30,00;0,00%;153,50;0,00%;0,00;0,00%;-153,50;-100,00%; ; ;0,00;0;0,00; ;
 ;PRO LABORE THIAGO;100,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;24.846,50;0,0628;24.846,50; ;
 ;PRO LABORE PATRICIA;52.249,79;0,40%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;9.350,00; ;24.846,50;0,0628;24.846,50; ;
 ;PRO LABORE EMPRESA;1.000,00;0,01%;57.505,88;0,41%;30.859,90;0,22%;-26.645,98;86,34%;1.713.095,74; ;0,00;0;30.859,90; ;
 ;TOTAL;305,29;0,00%;1.674,77;0,01%;-782,37;-0,01%;-2.457,14;-314,06%;1.703.745,74; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;705,29;0,01%;2.470,05;0,02%;1.135,10;0,01%;-1.334,95;117,61%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;400,00;0,00%;795,28;0,01%;1.917,47;0,01%;1.122,19;-58,52%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);256.457,18;1,95%;304.720,87;2,16%;299.206,16;2,12%;-5.514,71;-1,81%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;614.678,09;4,68%;487.533,87;3,45%;281.116,97;2,02%; ; ; ; ;177.792,34;0,4495;458.909,31;3,30%;
 ;EMPRESTIMOS E FINANCIAMENTOS;189.261,29;1,44%;208.782,32;1,48%;211.493,07;1,52%; ; ; ; ;1.490,60;;212.983,67; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;425.416,80;3,24%;278.751,55;1,97%;69.623,90;0,50%; ; ; ; ;176.301,74;;245.925,64; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;10.982.154,19;78,77%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;4.084.231,74; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.467.452,99; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;205.751,37; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;168.521,90; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;15.736,33; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;3.825.989,93; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
