Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Dezembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Dez/24; ;Nov/25; ;Dez/25; ; ; ;Dez/25; ;Dez/25;;Dez/25; ;
 ;( - ) Despesas Gerais;9.826,36;0,42%;26.093,52;0,19%;23.782,35;0,15%;-2.311,17;-8,9%;23.782,35;0,15%;0,00;0;23.782,35;0,15%;
 ;( +) Outras Receitas;64.593,17;0,42%;56.776,81;0,42%;72.475,84;0,47%;15.699,03;27,7%;72.475,84;0,47%;3,30;0;72.479,14;0,47%;
 ;( +) Bonificação Recebidas;176.411,62;1,16%;64.969,61;0,48%;106.113,09;0,68%;41.143,48;63,33;106.113,09;0,68%;0,00;0;106.113,09;0,68%;
 ;DESPESAS OPERACIONAIS;2.734.085,35;17,96%;2.984.875,08;22,03%;3.188.909,11;20,46%;204.034,03;6,8%;3.188.909,11;20,46%;58.913,35;0,1306;3.142.361,83;20,19%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;1.345.489,48;8,84%;489.048,93;3,61%;872.078,07;5,60%;383.029,14;78,3%;872.078,07;5,60%;392.173,68;0,8694;901.536,95;5,79%;
 ;( - ) Depreciação / Amortização;106.543,23;0,70%;94.822,73;0,70%;109.080,47;0,70%;14.257,74;15,0%;109.080,47;0,70%;3.157,61;0,007;112.238,08; ;
 ;EBIT;1.238.946,26;8,14%;394.226,21;2,91%;762.997,60;4,90%;368.771,39;93,5%;762.997,60;4,90%;389.016,07;0,8624;789.298,87;5,07%;
 ;( - ) Resultado Financeiro;143.848,62;0,95%;22.829,00;0,17%;155.351,91;0,00%;132.522,91;580,5%;155.351,91;1,00%;2.885,48;0,0064;158.237,39; ;
 ;RESULTADO DO PERIODO;1.095.097,64;7,19%;371.397,21;2,74%;607.645,69;3,90%;236.248,48;63,6%;607.645,69;3,90%;386.130,59;0,856;631.061,48;4,05%;
 ;( - ) IRPJ / CSLL;35.215,15;0,23%;40.964,21;0,30%;49.644,75;0,32%;8.680,54;21,2%;49.644,75;0,32%;53.190,30;0,1179;102.835,05; ;
 ;RESULTADO LIQUIDO;1.059.882,49;6,96%;330.433,00;2,44%;558.000,94;3,58%;227.567,94;68,9%;558.000,94;3,58%;332.940,29;0,7381;528.226,43;3,39%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;397.011,94;2,61%;417.791,33;3,08%;424.344,00;2,72%;-6.552,67;1,57%; ; ;205.800,00;0,4562;267.429,20; ;
 ;PRO LABORE TUBERTINO;32.377,79;0,21%;81.807,39;0,60%;43.014,38;0,28;-38.793,01;90,19%; ; ;65.000,00;0,1441;108.014,38; ;
 ;PRO LABORE DIEGO;0,00;0,00%;165,15;0,00%;0,00;0,00%;-165,15;-100,00%; ; ;40.000,00;0,0887;40.000,00; ;
 ;PRO LABORE THIAGO;1.600,00;0,01%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;50.000,00;0,1108;50.000,00; ;
 ;PRO LABORE PATRICIA;51.017,30;0,34%;0,00;0,00%;20,00;0,00%;20,00;-100,00%;14.152,27; ;50.000,00;0,1108;50.020,00; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;27.997,58;0,21%;17.921,77;0,12%;-10.075,81;56,22%;1.832.400,80; ;800,00;0,0018;18.721,77; ;
 ;TOTAL;386,03;0,00%;0,00;0,00%;673,05;0,00%;673,05;-100,00%;1.818.248,53; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;4.406,86;0,03%;2.988,49;0,02%;673,05;0,00%;-2.315,44;344,02%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;4.020,83;0,03%;2.988,49;0,02%;0,00;0,02%;-2.988,49;-100,00%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
