Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mar/25; ;Fev/26; ;Mar/26; ; ; ;Mar/26; ;Mar/26;;Mar/26; ;
 ;RECEITA BRUTA OPERACIONAL;14.926.497,94; ;13.491.170,53; ;14.532.913,53; ;1.041.743,00;7,7%;14.532.913,53; ;414.613,58;0,0003;14.947.527,11; ;
 ;ABATIMENTOS SOBRE VENDAS;201.857,57; ;300.732,61; ;286.901,04; ;-13.831,57;-4,60;286.901,04; ;0,00;;286.901,04; ;
 ;RECEITA BRUTA EFETIVA (Produtos);14.724.640,37; ;13.190.437,92; ;14.246.012,49; ;1.055.574,57;8,0%;14.246.012,49; ; ;;14.246.012,49; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;414.613,58;; ; ;
 ;IMPOSTOS SOBRE VENDAS;884.244,89;6,40%;796.737,96;6,44%;862.416,68;6,45%;65.678,72;8,24;862.416,68; ;15.133,40;;877.550,07; ;
 ;DEVOLUÇÕES DE VENDA;21.386,35; ;15.945,70; ;22.874,56; ; ; ; ; ; ;;22.874,56; ;
 ;RECEITA OPERACIONAL LIQUIDA;13.819.009,13;100,00%;12.377.754,26;100%;13.360.721,25;100%;982.966,99;7,9%;13.360.721,25;100%;399.480,18;1;13.345.587,86;100%;
 ;CMV TOTAL;-9.957.117,90;-72,05%;-9.008.238,01;-72,78%;-9.723.445,60;-72,78%;-715.207,59;7,9%;-9.723.445,60;-72,78%;0,00;0;-9.723.445,60;-72,86%;
 ;( - ) Custo Merc Vendidas - Produtos;9.681.301,71;70,06%;8.773.663,69;70,88%;9.465.916,85;70,85%;692.253,16;7,9%;9.465.916,85;70,85%;0,00;0;9.465.916,85;70,93%;
