Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Janeiro/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Jan/25; ;Dez/25; ;Jan/26; ; ; ;Jan/26; ;Jan/26;;Jan/26; ;
 ;RECEITA BRUTA OPERACIONAL;13.907.984,83; ;16.982.083,57; ;14.474.308,87; ;-2.507.774,70;-14,8%;14.474.308,87; ;412.840,64;0,0003;14.887.149,51; ;
 ;ABATIMENTOS SOBRE VENDAS;224.798,83; ;374.951,73; ;306.180,35; ;-68.771,38;-18,34;306.180,35; ;0,00;;306.180,35; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.683.186,00; ;16.607.131,84; ;14.168.128,52; ;-2.439.003,32;-14,7%;14.168.128,52; ; ;;14.168.128,52; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;412.840,64;; ; ;
 ;IMPOSTOS SOBRE VENDAS;831.280,55;6,48%;989.470,58;6,35%;843.270,59;6,34%;-146.200,00;-14,78;843.270,59; ;15.068,68;;858.339,27; ;
 ;DEVOLUÇÕES DE VENDA;27.855,86; ;34.736,53; ;24.629,73; ; ; ; ; ; ;;24.629,73; ;
 ;RECEITA OPERACIONAL LIQUIDA;12.824.049,59;100,00%;15.582.924,73;100%;13.300.228,20;100%;-2.282.696,52;-14,6%;13.300.228,20;100%;397.771,96;1;13.285.159,52;100%;
 ;CMV TOTAL;-9.222.312,75;-71,91%;-11.521.937,55;-73,94%;-9.706.718,55;-72,98%;1.815.219,00;-15,8%;-9.706.718,55;-72,98%;0,00;0;-9.706.718,55;-73,06%;
 ;( - ) Custo Merc Vendidas - Produtos;8.947.344,31;69,77%;11.225.995,17;72,04%;9.452.473,91;71,07%;-1.773.521,26;-15,8%;9.452.473,91;71,07%;0,00;0;9.452.473,91;71,15%;
 ;CMV Devolução de Vendas;18.331,43;0,14%;22.843,72;0,15%;16.322,91;0,10%;-6.520,81;-28,55;16.322,91;0,10%;0,00;0;16.322,91;0,10%;
 ;MARGEM DE VENDA;3.601.736,84;28,09%;4.060.987,18;26,06%;3.593.509,65;27,02%;-467.477,53;-11,5%;3.593.509,65;27,02%;397.771,96;1,0379;3.578.440,97;26,94%;
 ;DESPESAS VARIAVEIS;587.075,17;4,58%;665.588,65;4,27%;612.811,55;4,61%;-52.777,10;-7,9%;612.811,55;4,61%;0,00;0;612.811,55;4,61%;
 ;( - ) Despesas c/ vendas;111.271,99;0,87%;103.003,13;0,66%;123.041,05;0,93%;20.037,92;19,5%;123.041,05;0,93%;0,00;0;123.041,05;0,93%;
 ;( - ) Despesas c/ vendas - Financeiras;155.201,94;1,21%;173.012,40;1,11%;157.264,79;1,18%;-15.747,61;-9,1%;157.264,79;0,00;0,00;0;157.264,79;1,18%;
