Financeiro - Controladoria Financeira-Sena;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:101 - Sena e Oliveira;Periodicidade:Mensal;Período:Outubro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Alugueis;56.764,00;8,76%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;0,00;0,00%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;0,00;0,00%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;62.665,33;9,67%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;567.525,12;87,56%; ; ; ; ; ;;
 ; ;Resultado Financeiro;8.619,03;1,33%; ; ; ; ; ;;
 ; ;Receita Financeira;8.679,94;1,34%; ; ; ; ; ;;
 ; ;Despesas Financeiras;60,91;0,01%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;576.144,15;88,89%; ; ; ; ; ;;
 ; ;Imposto de Renda;53.190,30;8,21%; ; ; ; ; ;;
 ; ;Lucro Líquido;522.953,85;80,69%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;143.469,98;22,14%; ; ; ; ; ;;
 ; ;SAÍDAS;143.469,98;22,14%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;36.969,98;5,70%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;106.500,00;16,43%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,00;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos;0,00;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;-34.500,00;-5,32%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;42.000,00; ; ; ; ; ; ;;
