Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Outubro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;63.440,64;112230/ Tejotão Card 25;2184,52;
 ; ; ; ; ; ; ;112111/Ifood;13.523,14;112231/ Pereira & Sales Loterias;891,02;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;3169,31;
 ; ; ; ; ; ; ;112150/Pix;1.605.069,00;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,10;112240/ Esporte Clube Cometa;259,88;
 ; ; ; ; ; ; ;112213/Tejotão Card;38.504,51;112244/Rossini;11225,4;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.762,14;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;159.076,88; ; ; ;112230/ Tejotão Card 25;13.657,38;112251/ Pelegrine e Silva;3465,9;
 ; ; ; ; ; ; ;112231/Pereira & Sales;891,02;112252/ Livio Rinzler e Outros;3598,22;
 ; ;Serviços Normais;157.626,73; ; ; ;112232/A Regional;6.950,64;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;9.917,70; ; ; ;112234/Sombra Lubrificantes;0,10;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;24648,94;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;655,31;112302/Debito-Alelo Ali;1971,84;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;2293,2;
 ; ; ; ; ; ; ;112244/Rossini;24.949,28;112308/Debito-Elo;1670,53;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;152.527,04;112312/Debito - Maestro;23872,7;
 ; ; ; ; ; ; ;112249/Doações a receber;2.600,93;112319/Debito- Sodexo  Alim;4839,64;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;8.190,35;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;6.931,80;112321/Debito - Ticket Alim;2720,9;
 ; ; ; ; ; ; ;112252/Livio Rinzler;8.401,06;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;49.590,68;112323/Debito - Ticket Flex;101,55;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;39103,04;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;54.074,68;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;5.018,60;112329/Debito - VR Ali;438,12;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;548,14;
 ; ; ; ; ; ; ;112258/Café Tejota;4.697,83;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;49.297,88;112350/Credito -AMEX;1389,88;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;144.657,51;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;118.928,46;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;473.842,58;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.673.092,24;112357/Credito - Elo;17061,46;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;365.331,57;112361/Credito - Mastercard;43563,83;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;22927,88;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;158.898,04;112373/Credito - Vale Card;0;
