Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.589.435,81;16,92%; ;(E) Entradas ==>;15.775.006,14;(I) Saldo Inicial ==>;1.371.993,06;;
 ; ;Vendas Crédito;4.950.579,79;32,34%; ;(S) Saídas ==>;15.660.544,23;(F) Saldo Final ==>;1.486.454,97;;
 ; ;Vendas Débito;5.352.996,37;34,97%; ;(=) Ent - Saídas;114.461,91;(=) Saldo I - Saldo F;114.461,91;;
 ; ;Vendas Clientes;667.990,71;4,36%; ; ; ; ; ;;
 ; ;Vendas PIX;1.616.688,30;10,56%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;128.254,59;0,84%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;15.305.945,57;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;248.715,51;1,62%; ; ; ; ; ;;
 ; ;( - ) Deduções;13.072,92;0,09%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;15.044.157,14;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.987.772,08;73,04%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;4.056.385,06;26,96%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;373.969,70;2,49%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;52.666,42;0,35%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;107.819,01;0,72%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;160.485,43;1,07%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;32.100,98;0,21%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;25.809,09;0,17%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;8.414,39;0,06%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;10.878,14;0,07%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.846.728,93;25,57%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;22.420,34;0,15%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;3.450,00;0,02%; ; ; ; ; ;;
 ; ;Fretes;452,10;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.544.058,15;10,26%; ; ; ; ; ;;
 ; ;Despesas Administrativas;740.277,94;4,92%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;7.397,80;0,05%; ; ; ; ; ;;
