Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Setembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;62.035,84;112230/ Tejotão Card 25;1145,85;
 ; ; ; ; ; ; ;112111/Ifood;7.218,78;112231/ Pereira & Sales Loterias;265,84;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;7576,66;
 ; ; ; ; ; ; ;112150/Pix;1.574.150,60;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,99;112240/ Esporte Clube Cometa;386;
 ; ; ; ; ; ; ;112213/Tejotão Card;31.068,21;112244/Rossini;5444,94;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.479,59;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;149.655,42; ; ; ;112230/ Tejotão Card 25;10.776,27;112251/ Pelegrine e Silva;4009,71;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.022,71;112252/ Livio Rinzler e Outros;4802,84;
 ; ;Serviços Normais;148.579,04; ; ; ;112232/A Regional;11.371,99;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;934,48; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;336,85;112259/LF mecanização;20192,76;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;1.838,24;112302/Debito-Alelo Ali;1835,65;
 ; ; ; ; ; ; ;112243/Edmar;1.031,66;112303/Debito -Cabal-voucher;1380,22;
 ; ; ; ; ; ; ;112244/Rossini;11.517,52;112308/Debito-Elo;3623,48;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;152.530,02;112312/Debito - Maestro;15473,15;
 ; ; ; ; ; ; ;112249/Doações a receber;2.798,07;112319/Debito- Sodexo  Alim;4315,77;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;6.491,64;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;8.019,42;112321/Debito - Ticket Alim;893,91;
 ; ; ; ; ; ; ;112252/Livio Rinzler;9.076,65;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;45.591,77;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;39318,48;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;44.301,68;112327/ Debito - Alelo Refeição;0;
