Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;54.460,02;112230/ Tejotão Card 25;955,62;
 ; ; ; ; ; ; ;112111/Ifood;12.929,92;112231/ Pereira & Sales Loterias;704,65;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;6845,37;
 ; ; ; ; ; ; ;112150/Pix;1.482.169,01;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;3564,19;
 ; ; ; ; ; ; ;112213/Tejotão Card;35.931,90;112244/Rossini;5010,08;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.372,73;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;151.032,16; ; ; ;112230/ Tejotão Card 25;13.688,97;112251/ Pelegrine e Silva;3048,09;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.245,74;112252/ Livio Rinzler e Outros;3654,61;
 ; ;Serviços Normais;149.849,66; ; ; ;112232/A Regional;10.637,59;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.661,59; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;1400;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;0;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;6.588,46;112302/Debito-Alelo Ali;2923,02;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;1894,95;
 ; ; ; ; ; ; ;112244/Rossini;11.355,19;112308/Debito-Elo;2738,31;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;186.768,26;112312/Debito - Maestro;21012,25;
 ; ; ; ; ; ; ;112249/Doações a receber;4.204,44;112319/Debito- Sodexo  Alim;4207,55;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;8.133,05;112320/Debito - Sodexo  Gift;404,02;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;10.402,97;112321/Debito - Ticket Alim;2274,1;
 ; ; ; ; ; ; ;112252/Livio Rinzler;7.182,42;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;45.971,73;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;2.800,00;112326/Debito - Visa Electron;39058,37;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;47.502,88;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;6.759,43;112329/Debito - VR Ali;1942,72;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;77,96;
 ; ; ; ; ; ; ;112258/Café Tejota;5.669,69;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;9.804,97;112350/Credito -AMEX;1907,68;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;135.235,08;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;113.916,00;112353/Credito-GoodCard;183,59;
 ; ; ; ; ; ; ;112308/Debito-Elo;495.156,75;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.646.303,98;112357/Credito - Elo;13376,18;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;218.113,91;112361/Credito - Mastercard;50132,07;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;9,44;112372/Credito - Visa;36995,25;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;168.871,97;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;350,73;112375/Credito - Policard/Up Brasil;1019,54;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;0,00;112379/Credito - Tricard;191,09;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.030.120,87;112380/Debito -VR ref;0;
