Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Janeiro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;69.588,30;112230/ Tejotão Card 25;688,14;
 ; ; ; ; ; ; ;112111/Ifood;10.389,88;112231/ Pereira & Sales Loterias;605,76;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;3170,12;
 ; ; ; ; ; ; ;112150/Pix;1.188.224,83;112238/ Parana Veiculos;173,26;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;8106;
 ; ; ; ; ; ; ;112213/Tejotão Card;41.481,73;112244/Rossini;8966,61;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.634,31;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;145.587,19; ; ; ;112230/ Tejotão Card 25;13.554,33;112251/ Pelegrine e Silva;3500,71;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.211,52;112252/ Livio Rinzler e Outros;6401,62;
 ; ;Serviços Normais;143.468,54; ; ; ;112232/A Regional;7.403,19;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.604,08; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;346,52;112259/LF mecanização;0;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;11.856,77;112302/Debito-Alelo Ali;3129,33;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;2762,15;
 ; ; ; ; ; ; ;112244/Rossini;17.467,33;112308/Debito-Elo;2659,54;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;191.460,50;112312/Debito - Maestro;12866,08;
 ; ; ; ; ; ; ;112249/Doações a receber;4.004,24;112319/Debito- Sodexo  Alim;3497,57;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;4.377,30;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;7.001,42;112321/Debito - Ticket Alim;2733,09;
 ; ; ; ; ; ; ;112252/Livio Rinzler;12.280,42;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;49.382,02;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;32391,14;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;46.168,81;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;4.391,64;112329/Debito - VR Ali;459,16;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;486,56;
 ; ; ; ; ; ; ;112258/Café Tejota;5.413,85;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;0,00;112350/Credito -AMEX;723,97;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;184.336,40;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;143.210,60;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;430.766,63;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.644.949,43;112357/Credito - Elo;7358,36;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;227.925,96;112361/Credito - Mastercard;50080,98;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;92,05;112372/Credito - Visa;20531,93;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;172.324,65;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;135,86;112375/Credito - Policard/Up Brasil;594,47;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;24,68;112379/Credito - Tricard;165,69;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.030.799,24;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;26.710,76;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;196.879,30;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;50.259,96;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;33.618,38;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;255,70;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;200,00;112501/Cheque AV;9733,8;
 ; ; ; ; ; ; ;112357/Credito - Elo;396.598,77;112502/Cheque Pre;49515,82;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;0;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;11417,28;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.709.535,06;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.581.054,71;112985/IRRF a Compensar;463,27;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;30.002,16;127201/Partic em Outras Sociedades;50;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;51.230,54;127203/Aracredi Banco Cooperativa Ltda;100;
 ; ; ; ; ; ; ;112379/Credito - Tricard;59.757,00;211101/Fornec. p/ Revenda;11993488,98;
 ; ; ; ; ; ; ;112380/Debito -VR ref;20.288,72;211102/Fornec p/ Consumo;156002,58;
 ; ; ; ; ; ; ;112381/Debito - Cabal;11.738,34;211103/Fornec de Serviços;300155,26;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;237,68;211104/Faturas a Pagar;143468,54;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;4.938,19;211105/Fretes a Pagar;15561,05;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;1.700,77;211109/Fornecedor de Investimento;26372,68;
 ; ; ; ; ; ; ;112398/Pic Pay;855,04;211110/Fornec desp gerais;16353,35;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.085,35;211201/Obrig Imobilizado;91788;
 ; ; ; ; ; ; ;112501/Cheque AV;15.925,63;211301/Salários e Ordenado;521441,97;
 ; ; ; ; ; ; ;112502/Cheque Pre;137.610,52;211302/Férias a Pagar;93558,18;
 ; ; ; ; ; ; ;112503/Cheque devolvido;675,00;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;48.397,63;211304/Verbas Resc a Pagar;28906,11;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;42.296,13;211305/Sindicatos a Pagar;5167,96;
 ; ; ; ; ; ; ;112703/Devolução RCM;69.493,79;211306/Pensão Alimentícia;2262,97;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;404,42;211307/Adiant a Func;221653,94;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;27.257,36;211309/Adto 13º Salário;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;0;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;1.933,56;211501/ICMS a Recolher;221627,48;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;21.243,42;211502/PIS a Recolher;28845,09;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;133026,27;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;344243,43;
 ; ; ; ; ; ; ;112801/Adto Funcionários;0,00;211505/FGTS a Pagar;109009,13;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;25364,08;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;4.422,43;211507/CSLL a Pagar;9851,07;
 ; ; ; ; ; ; ;112949/Outras CR;433.000,00;211508/IPTU a Pagar;546;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112953/Adto Clientes;7.141,52;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;5748,52;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;9280,77;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;1476,77;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;3440,63;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,53;211602/IRRF a Recolher;49036,82;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;85.373,57;211603/ISSQN a Recolher;464,55;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;3271,95;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;14.258,18;211605/INSS Retido a Recolher;2555,16;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;22.048,57;211901/Devolução de Vendas a Pagar;18544,1;
 ; ; ; ; ; ; ;313101/Juros Recebidos;821,19;211902/Contra Vale a Pagar;187,3;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;9.060,19;211903/Adiant. de Clientes;3272,54;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;4.496,89;211905/Créd Trocas/Boni Inden;4219,51;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;1,95;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,90;211911/Corresp. Bancário;62200,61;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;165,00;211913/Alugueis a Pagar;134487,27;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;41.996,55;211914/Convênios Terceiros - Folha de Pagamento;46873,92;
 ; ; ; ; ; ; ;313208/Ganho Recarga;372,87;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;5,54;211916/Repasse Recarga de celular;11479;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,91;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;0,02;211920/Adiant. a Fornecedor;48545;
