Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;42.909,60;112230/ Tejotão Card 25;1746,96;
 ; ; ; ; ; ; ;112111/Ifood;14.216,33;112231/ Pereira & Sales Loterias;572,29;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;2408,42;
 ; ; ; ; ; ; ;112150/Pix;1.460.445,06;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;32.870,31;112244/Rossini;5137,07;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;187.731,37; ; ; ;112230/ Tejotão Card 25;12.918,37;112251/ Pelegrine e Silva;4177,21;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.144,58;112252/ Livio Rinzler e Outros;6657,65;
 ; ;Serviços Normais;186.283,94; ; ; ;112232/A Regional;4.816,84;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;5.599,24; ; ; ;112234/Sombra Lubrificantes;5.307,01;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;24575,33;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112302/Debito-Alelo Ali;1478,55;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;2614,74;
 ; ; ; ; ; ; ;112244/Rossini;10.083,79;112308/Debito-Elo;940,49;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;125.232,64;112312/Debito - Maestro;23479,45;
 ; ; ; ; ; ; ;112249/Doações a receber;1.905,29;112319/Debito- Sodexo  Alim;5023,17;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;6.737,65;112320/Debito - Sodexo  Gift;69,95;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;8.354,42;112321/Debito - Ticket Alim;2085,56;
 ; ; ; ; ; ; ;112252/Livio Rinzler;12.264,98;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;38.261,43;112323/Debito - Ticket Flex;143,24;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;32717,27;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;49.566,74;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;6.065,59;112329/Debito - VR Ali;372,86;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;6.256,77;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;24.575,33;112350/Credito -AMEX;987,11;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;117.973,45;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;120.047,57;112353/Credito-GoodCard;215,53;
 ; ; ; ; ; ; ;112308/Debito-Elo;463.142,60;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.423.260,25;112357/Credito - Elo;11772,42;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;326.306,11;112361/Credito - Mastercard;34836,97;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;985,34;112372/Credito - Visa;13898,68;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;142.340,20;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;373,30;112375/Credito - Policard/Up Brasil;767,09;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;474,30;112379/Credito - Tricard;118,46;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;1.735.662,00;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;20.601,24;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;142.405,86;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;22.388,71;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;24.375,31;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
