Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;57.736,31;112230/ Tejotão Card 25;2123,64;
 ; ; ; ; ; ; ;112111/Ifood;19.284,78;112231/ Pereira & Sales Loterias;422,05;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;0;
 ; ; ; ; ; ; ;112150/Pix;1.667.365,72;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;29.945,95;112244/Rossini;11637,52;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;172.595,68; ; ; ;112230/ Tejotão Card 25;12.784,87;112251/ Pelegrine e Silva;4968,34;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.227,24;112252/ Livio Rinzler e Outros;6416,66;
 ; ;Serviços Normais;171.572,88; ; ; ;112232/A Regional;2.680,29;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;6.173,33; ; ; ;112234/Sombra Lubrificantes;6.275,91;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;26962,46;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112302/Debito-Alelo Ali;1024,09;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;1172,92;
 ; ; ; ; ; ; ;112244/Rossini;23.609,41;112308/Debito-Elo;1996,74;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;126.760,13;112312/Debito - Maestro;10511,18;
 ; ; ; ; ; ; ;112249/Doações a receber;2.725,06;112319/Debito- Sodexo  Alim;2907,48;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;4.281,87;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;9.936,68;112321/Debito - Ticket Alim;1412,54;
 ; ; ; ; ; ; ;112252/Livio Rinzler;12.138,42;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;39.407,72;112323/Debito - Ticket Flex;141,06;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;27734,33;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;42.209,77;112327/ Debito - Alelo Refeição;61;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;4.098,54;112329/Debito - VR Ali;985,03;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;65,40;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;77.020,80;112350/Credito -AMEX;275,47;
 ; ; ; ; ; ; ;112260/Rede Orto;415,27;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;110.615,42;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;174.499,71;112353/Credito-GoodCard;217;
 ; ; ; ; ; ; ;112308/Debito-Elo;489.522,59;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.531.924,25;112357/Credito - Elo;3893,09;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;548,63;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;402.112,11;112361/Credito - Mastercard;35833,09;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;15592,95;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;167.004,33;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;157,82;112375/Credito - Policard/Up Brasil;1479,15;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;502,35;112379/Credito - Tricard;691,06;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;1.867.839,08;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;15.922,37;112381/Debito - Cabal;700,17;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;181.723,34;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;40.588,13;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;22.677,07;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;0,00;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;217,00;112501/Cheque AV;7853,38;
 ; ; ; ; ; ; ;112357/Credito - Elo;398.630,70;112502/Cheque Pre;10047,49;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;39.714,14;112503/Cheque devolvido;3894,08;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;294,62;112703/ Devolução de Mercadoria a Receber - RCM;4698,72;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.455.194,56;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.462.701,46;112985/IRRF a Compensar;0;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;38.167,11;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;46.878,40;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;46.671,17;211101/Fornec. p/ Revenda;10712717,43;
 ; ; ; ; ; ; ;112380/Debito -VR ref;12.508,61;211102/Fornec p/ Consumo;187525,84;
 ; ; ; ; ; ; ;112381/Debito - Cabal;11.098,45;211103/Fornec de Serviços;317587,32;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;171572,88;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;2895,89;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;188,04;211109/Fornecedor de Investimento;31103,23;
 ; ; ; ; ; ; ;112398/Pic Pay;0,00;211110/Fornec desp gerais;7566,85;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;4.141,58;211201/Obrig Imobilizado;266920,58;
 ; ; ; ; ; ; ;112501/Cheque AV;11.085,42;211301/Salários e Ordenado;501677,68;
 ; ; ; ; ; ; ;112502/Cheque Pre;87.846,99;211302/Férias a Pagar;51663,71;
 ; ; ; ; ; ; ;112503/Cheque devolvido;1.231,29;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;41.595,65;211304/Verbas Resc a Pagar;33706,99;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;24.673,29;211305/Sindicatos a Pagar;224,91;
 ; ; ; ; ; ; ;112703/Devolução RCM;61.327,64;211306/Pensão Alimentícia;2519,95;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;423,50;211307/Adiant a Func;246970,03;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;39.579,98;211309/Adto 13º Salário;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;78034,44;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;0,00;211501/ICMS a Recolher;216809,16;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;5.692,14;211502/PIS a Recolher;29948,21;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;138099,07;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;376002,2;
