Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112111/Ifood;17.066,39;112230/ Tejotão Card 25;1472,98;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112231/ Pereira & Sales Loterias;0;
 ; ; ; ; ; ; ;112150/Pix;2.138.804,09;112232/A Regional;4195,18;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112233/Maiuna Teen 2;1158,47;
 ; ; ; ; ; ; ;112213/Tejotão Card;27.338,26;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112230/ Tejotão Card 25;15.336,46;112244/Rossini;0;
 ; ;VALIDAÇÃO 211104;222.624,45; ; ; ;112231/Pereira & Sales;0,00;112250/Tejotao Card - Cartoes;0;
 ; ; ; ; ; ; ;112232/A Regional;6.878,01;112251/ Pelegrine e Silva;3890,72;
 ; ;Serviços Normais;221.777,82; ; ; ;112233/Maiuna Teen 2;2.316,94;112252/ Livio Rinzler e Outros;6389,91;
 ; ;Serviços - Investimentos;0,00; ; ; ;112234/Sombra Lubrificantes;6.816,00;112253/Entregas e-commerce;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112259/LF mecanização;24082,25;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112260/Rede Orto;280,64;
 ; ; ; ; ; ; ;112244/Rossini;6.364,30;112302/Debito-Alelo Ali;1122,98;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;94.142,10;112303/Debito -Cabal-voucher;1686,26;
 ; ; ; ; ; ; ;112249/Doações a receber;4.381,29;112308/Debito-Elo;2626,58;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;6.605,12;112312/Debito - Maestro;11148,23;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;7.781,44;112319/Debito- Sodexo  Alim;1694,45;
 ; ; ; ; ; ; ;112252/Livio Rinzler;13.339,43;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112253/E-commerce;42.077,92;112321/Debito - Ticket Alim;1425,72;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;44.062,10;112323/Debito - Ticket Flex;288,02;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;5.921,32;112326/Debito - Visa Electron;28324,23;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112258/Café Tejota;28.077,76;112329/Debito - VR Ali;2486,72;
 ; ; ; ; ; ; ;112259/LF mecanização;97.957,29;112330/Debito - Sodexo Ref;78,74;
 ; ; ; ; ; ; ;112260/Rede Orto;576,64;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;117.046,84;112350/Credito -AMEX;1428,56;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;160.727,22;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;635.619,18;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.957.835,20;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;202.275,47;112357/Credito - Elo;29586,48;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112358/Debito - Elo Voucher;160;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;103.983,72;112361/Credito - Mastercard;30648,82;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;0,00;112372/Credito - Visa;13549,24;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;455,14;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112324/Ticket Alimentação Auxilio (AA);43.686,02;112375/Credito - Policard/Up Brasil;542,24;
 ; ; ; ; ; ; ;112325/Ticket Restaurante Auxilio (AA);2.649,59;112379/Credito - Tricard;0;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.219.878,30;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;19.884,74;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112328/Ticket Flex Auxilio (AA);2.316,58;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;69.618,40;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;22.663,91;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112332/Pluxee Alimentação Auxilio (AA);118.918,10;112399/POS;0;
