Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;61.500,20;112230/ Tejotão Card 25;1119,26;
 ; ; ; ; ; ; ;112111/Ifood;8.317,69;112231/ Pereira & Sales Loterias;613,03;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;6832,08;
 ; ; ; ; ; ; ;112150/Pix;1.360.770,30;112238/ Parana Veiculos;42,9;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;3474;
 ; ; ; ; ; ; ;112213/Tejotão Card;45.464,24;112244/Rossini;0;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.472,11;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;160.594,03; ; ; ;112230/ Tejotão Card 25;10.063,23;112251/ Pelegrine e Silva;2123,9;
 ; ; ; ; ; ; ;112231/Pereira & Sales;613,03;112252/ Livio Rinzler e Outros;3821,7;
 ; ;Serviços Normais;159.881,46; ; ; ;112232/A Regional;10.478,66;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.084,77; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;85,80;112259/LF mecanização;0;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;9.047,33;112302/Debito-Alelo Ali;3435,23;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;1414,27;
 ; ; ; ; ; ; ;112244/Rossini;0,00;112308/Debito-Elo;5008,72;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;155.922,66;112312/Debito - Maestro;17338,04;
 ; ; ; ; ; ; ;112249/Doações a receber;1.860,49;112319/Debito- Sodexo  Alim;4185,48;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;3.213,41;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;4.247,90;112321/Debito - Ticket Alim;1775,53;
 ; ; ; ; ; ; ;112252/Livio Rinzler;10.479,51;112322/Debito - Ticket Restaurante;257,59;
 ; ; ; ; ; ; ;112253/E-commerce;47.525,31;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;46132,46;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;61.161,10;112327/ Debito - Alelo Refeição;391,76;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;4.901,12;112329/Debito - VR Ali;538,86;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;7.660,28;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;0,10;112350/Credito -AMEX;1758,91;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;174.665,15;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;120.608,15;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;453.818,28;112355/Credito - ECX Card;0;
