Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.573.815,69;19,67%; ;(E) Entradas ==>;13.850.406,96;(I) Saldo Inicial ==>;1.518.054,59;;
 ; ;Vendas Crédito;3.982.812,32;30,44%; ;(S) Saídas ==>;13.994.051,14;(F) Saldo Final ==>;1.374.410,41;;
 ; ;Vendas Débito;4.546.658,21;34,75%; ;(=) Ent - Saídas;-143.644,18;(=) Saldo I - Saldo F;-143.644,18;;
 ; ;Vendas Clientes;655.259,55;5,01%; ; ; ; ; ;;
 ; ;Vendas PIX;1.188.098,84;9,08%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;137.974,97;1,05%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;13.084.619,58;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;317.922,60;2,43%; ; ; ; ; ;;
 ; ;( - ) Deduções;15.730,38;0,12%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;12.750.966,60;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;9.001.455,56;70,59%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.749.511,04;29,41%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;427.722,47;3,35%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;38.991,65;0,31%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;63.244,53;0,50%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;102.236,18;0,80%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;7.758,53;0,06%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;1.149,54;0,01%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;1.004,79;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;304,79;0,00%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.431.333,74;26,91%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;17.927,54;0,14%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;52.795,51;0,41%; ; ; ; ; ;;
 ; ;Fretes;12.738,16;0,10%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.341.160,28;10,52%; ; ; ; ; ;;
 ; ;Despesas Administrativas;730.975,35;5,73%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;16.665,75;0,13%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;1.976,19;0,02%; ; ; ; ; ;;
 ; ;Alugueis;789.085,61;6,19%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;133.168,95;1,04%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;110,82;0,00%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;3.096.382,52;24,28%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;334.951,22;2,63%; ; ; ; ; ;;
 ; ;Resultado Financeiro;13.921,91;0,11%; ; ; ; ; ;;
 ; ;Receita Financeira;23.495,19;0,18%; ; ; ; ; ;;
 ; ;Despesas Financeiras;9.573,28;0,08%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;348.873,13;2,74%; ; ; ; ; ;;
 ; ;Imposto de Renda;62.451,50;0,49%; ; ; ; ; ;;
 ; ;Lucro Líquido;286.421,63;2,25%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;747.310,75;5,86%; ; ; ; ; ;;
 ; ;SAÍDAS;747.310,75;5,86%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;234.213,32;1,84%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;513.097,43;4,02%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,00;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;-439.546,55;-3,45%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;15.799,90; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;455.346,45; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;53.926,27;0,42%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;66.423,57; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;12.497,30; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;-75.268,84;-0,59%; ; ; ; ; ;;
 ; ;Acionistas;72.895,89;0,57%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;-148.164,73;-1,16%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;58.689,14; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;54.168,59; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;-143.644,18; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Entradas - Total; ;112101/ Clientes a Receber;88632,77;
 ; ; ; ; ; ; ;Resgate;0,00;112150/Pix;15501,06;
 ; ; ; ; ; ; ;111101/Movimento Caixa;2.632.499,76;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112101/Clientes a Receber;219.897,88;112220/ G & C Hoteis;4932,64;
 ; ; ; ; ; ; ;112103/Clientes Boletos;46.599,26;112230/ Tejotão Card 25;1056,54;
 ; ; ; ; ; ; ;112111/Ifood;7.798,68;112231/ Pereira & Sales Loterias;718,89;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;0;
 ; ; ; ; ; ; ;112150/Pix;1.188.098,84;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;5447,33;
 ; ; ; ; ; ; ;112213/Tejotão Card;38.257,06;112244/Rossini;4667,49;
 ; ; ; ; ; ; ;112220/GC Hoteis;10.003,93;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;153.961,06; ; ; ;112230/ Tejotão Card 25;11.681,02;112251/ Pelegrine e Silva;2940,7;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.437,78;112252/ Livio Rinzler e Outros;6657,81;
 ; ;Serviços Normais;153.655,83; ; ; ;112232/A Regional;3.170,12;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.497,91; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;1400;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;0;
