Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;56.577,26;112230/ Tejotão Card 25;2500,58;
 ; ; ; ; ; ; ;112111/Ifood;8.953,13;112231/ Pereira & Sales Loterias;491,03;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;0;
 ; ; ; ; ; ; ;112150/Pix;1.422.787,95;112238/ Parana Veiculos;336,85;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;1438,24;
 ; ; ; ; ; ; ;112213/Tejotão Card;44.008,87;112244/Rossini;4997,06;
 ; ; ; ; ; ; ;112220/GC Hoteis;8.591,18;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;163.465,54; ; ; ;112230/ Tejotão Card 25;13.820,25;112251/ Pelegrine e Silva;3246,19;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.195,68;112252/ Livio Rinzler e Outros;4273,81;
 ; ;Serviços Normais;162.466,14; ; ; ;112232/A Regional;3.053,15;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;17.823,01; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;336,85;112259/LF mecanização;25558,86;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;5.054,59;112302/Debito-Alelo Ali;4696,36;
 ; ; ; ; ; ; ;112243/Edmar;1.112,33;112303/Debito -Cabal-voucher;666,32;
 ; ; ; ; ; ; ;112244/Rossini;11.172,02;112308/Debito-Elo;4987,88;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;147.391,08;112312/Debito - Maestro;14656,75;
 ; ; ; ; ; ; ;112249/Doações a receber;3.348,82;112319/Debito- Sodexo  Alim;6505,74;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;6.026,44;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;6.492,38;112321/Debito - Ticket Alim;1807,66;
