Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;50.180,74;112230/ Tejotão Card 25;1492,24;
 ; ; ; ; ; ; ;112111/Ifood;8.177,00;112231/ Pereira & Sales Loterias;860,12;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;2864,23;
 ; ; ; ; ; ; ;112150/Pix;1.347.191,19;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;37.517,08;112244/Rossini;10348,57;
 ; ; ; ; ; ; ;112220/GC Hoteis;10.006,24;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;149.684,57; ; ; ;112230/ Tejotão Card 25;13.132,39;112251/ Pelegrine e Silva;4132,9;
 ; ; ; ; ; ; ;112231/Pereira & Sales;860,12;112252/ Livio Rinzler e Outros;5640,48;
 ; ;Serviços Normais;148.525,80; ; ; ;112232/A Regional;6.343,97;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.245,33; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;14589,63;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;2.754,99;112302/Debito-Alelo Ali;4394,45;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;670,14;
 ; ; ; ; ; ; ;112244/Rossini;22.725,11;112308/Debito-Elo;4217,22;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;155.451,11;112312/Debito - Maestro;20286,85;
 ; ; ; ; ; ; ;112249/Doações a receber;2.235,74;112319/Debito- Sodexo  Alim;4445,57;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;5.745,66;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;8.265,80;112321/Debito - Ticket Alim;912,98;
 ; ; ; ; ; ; ;112252/Livio Rinzler;9.826,48;112322/Debito - Ticket Restaurante;321,56;
 ; ; ; ; ; ; ;112253/E-commerce;47.783,50;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;39257,44;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;45.632,69;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;5.895,26;112329/Debito - VR Ali;884,01;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;2.922,12;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;29.179,26;112350/Credito -AMEX;1055,04;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;139.373,22;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;106.939,78;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;432.731,61;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.552.887,74;112357/Credito - Elo;8945,39;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;229.383,51;112361/Credito - Mastercard;49953,46;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;175,83;112372/Credito - Visa;30607,35;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;123.456,32;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;0,00;112375/Credito - Policard/Up Brasil;746,88;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;0,00;112379/Credito - Tricard;296,39;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;1.906.075,35;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;29.602,02;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;111.503,60;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;42.208,02;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;23.493,46;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;0,00;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;227,90;112501/Cheque AV;17288,91;
 ; ; ; ; ; ; ;112357/Credito - Elo;353.771,24;112502/Cheque Pre;21789,37;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;6551,16;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;4668,38;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.508.453,85;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.556.956,27;112985/IRRF a Compensar;1756,68;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;36.548,80;127201/Partic em Outras Sociedades;150;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;60.999,36;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;55.018,45;211101/Fornec. p/ Revenda;10543628,21;
 ; ; ; ; ; ; ;112380/Debito -VR ref;17.958,08;211102/Fornec p/ Consumo;124828,74;
 ; ; ; ; ; ; ;112381/Debito - Cabal;7.729,16;211103/Fornec de Serviços;321630,67;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;150,54;211104/Faturas a Pagar;148525,8;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;327,53;211105/Fretes a Pagar;1587,19;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;0,00;211109/Fornecedor de Investimento;5795,68;
 ; ; ; ; ; ; ;112398/Pic Pay;875,73;211110/Fornec desp gerais;23155,35;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.591,91;211201/Obrig Imobilizado;200981,34;
 ; ; ; ; ; ; ;112501/Cheque AV;21.169,77;211301/Salários e Ordenado;518406,94;
 ; ; ; ; ; ; ;112502/Cheque Pre;150.701,23;211302/Férias a Pagar;60784,34;
 ; ; ; ; ; ; ;112503/Cheque devolvido;4.182,33;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;12.540,31;211304/Verbas Resc a Pagar;38740,74;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;37.411,92;211305/Sindicatos a Pagar;163,36;
 ; ; ; ; ; ; ;112703/Devolução RCM;28.480,00;211306/Pensão Alimentícia;3018;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;2.058,86;211307/Adiant a Func;225394,39;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;34.918,50;211309/Adto 13º Salário;1323,68;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;0;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;1.240,19;211501/ICMS a Recolher;224509,33;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;2.421,04;211502/PIS a Recolher;30072,48;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;138761,66;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;344159,23;
 ; ; ; ; ; ; ;112801/Adto Funcionários;1.500,00;211505/FGTS a Pagar;77957,28;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;40689,19;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;4.441,12;211507/CSLL a Pagar;15368,11;
 ; ; ; ; ; ; ;112949/Outras CR;318,02;211508/IPTU a Pagar;0;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112953/Adto Clientes;13.904,94;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;3161,06;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;7413,27;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;0;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;5251,15;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;16904,19;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;20.060,18;211603/ISSQN a Recolher;487,98;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2128,71;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;10.933,38;211605/INSS Retido a Recolher;2683,95;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;16.306,68;211901/Devolução de Vendas a Pagar;16009,35;
 ; ; ; ; ; ; ;313101/Juros Recebidos;388,71;211902/Contra Vale a Pagar;215,5;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;6.585,68;211903/Adiant. de Clientes;15298,86;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;12.779,57;211905/Créd Trocas/Boni Inden;11156,27;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;42,90;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,00;211911/Corresp. Bancário;49519,18;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;436458,12;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;34.875,84;211914/Convênios Terceiros - Folha de Pagamento;57771,97;
 ; ; ; ; ; ; ;313208/Ganho Recarga;353,99;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;12419;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;1,08;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;4.358,16;211920/Adiant. a Fornecedor;15946;
 ; ; ; ; ; ; ;333101/Juros Pagos;13,02;211921/Bonificações a Apropriar;3859,16;
