Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;52.195,47;112230/ Tejotão Card 25;1438,63;
 ; ; ; ; ; ; ;112111/Ifood;7.842,46;112231/ Pereira & Sales Loterias;633,32;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;3479,74;
 ; ; ; ; ; ; ;112150/Pix;1.380.237,32;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;2754,99;
 ; ; ; ; ; ; ;112213/Tejotão Card;35.392,65;112244/Rossini;4902,75;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.761,76;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;164.212,53; ; ; ;112230/ Tejotão Card 25;12.770,37;112251/ Pelegrine e Silva;3047,24;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.879,67;112252/ Livio Rinzler e Outros;4186;
 ; ;Serviços Normais;154.383,95; ; ; ;112232/A Regional;6.665,24;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.217,83; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;0;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;6.328,91;112302/Debito-Alelo Ali;3695,33;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;796,99;
 ; ; ; ; ; ; ;112244/Rossini;10.856,16;112308/Debito-Elo;2928,3;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;174.532,20;112312/Debito - Maestro;18844,89;
 ; ; ; ; ; ; ;112249/Doações a receber;3.346,11;112319/Debito- Sodexo  Alim;4252,32;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;5.064,11;112320/Debito - Sodexo  Gift;175,83;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;6.094,48;112321/Debito - Ticket Alim;1634,15;
 ; ; ; ; ; ; ;112252/Livio Rinzler;8.007,70;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;49.231,13;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;34097,67;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;48.500,08;112327/ Debito - Alelo Refeição;73,41;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;5.130,77;112329/Debito - VR Ali;657,7;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;4.843,04;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;13.640,68;112350/Credito -AMEX;890,96;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;146.597,89;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;120.602,72;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;433.043,83;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.575.873,28;112357/Credito - Elo;8350,83;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;365.120,78;112361/Credito - Mastercard;55217,04;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;27094,54;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;148.400,77;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;257,59;112375/Credito - Policard/Up Brasil;1683,61;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;22,85;112379/Credito - Tricard;0;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;1.946.256,67;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;23.494,70;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;162.291,87;112382/Debito- Ben Vale Refeição;0;
