Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Dezembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;68.680,00;112230/ Tejotão Card 25;343,71;
 ; ; ; ; ; ; ;112111/Ifood;16.295,93;112231/ Pereira & Sales Loterias;520,59;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;5969,89;
 ; ; ; ; ; ; ;112150/Pix;2.044.785,86;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;11.401,70;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;33.119,53;112244/Rossini;5184,85;
 ; ; ; ; ; ; ;112220/GC Hoteis;3.563,47;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;161.813,62; ; ; ;112230/ Tejotão Card 25;11.097,32;112251/ Pelegrine e Silva;3788,48;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.041,18;112252/ Livio Rinzler e Outros;5462,53;
 ; ;Serviços Normais;160.913,25; ; ; ;112232/A Regional;9.802,32;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;6.463,76; ; ; ;112234/Sombra Lubrificantes;8.210,37;112254/CDL- Câmara de Dirigentes Lojistas;2593,96;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;50596,06;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112302/Debito-Alelo Ali;2380,57;
 ; ; ; ; ; ; ;112243/Edmar;3.396,94;112303/Debito -Cabal-voucher;2199,63;
 ; ; ; ; ; ; ;112244/Rossini;9.899,42;112308/Debito-Elo;2196,35;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;198.643,06;112312/Debito - Maestro;22209,96;
 ; ; ; ; ; ; ;112249/Doações a receber;2.551,61;112319/Debito- Sodexo  Alim;3850,43;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;6.508,70;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;7.576,96;112321/Debito - Ticket Alim;2274,52;
 ; ; ; ; ; ; ;112252/Livio Rinzler;10.967,44;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;40.165,82;112323/Debito - Ticket Flex;619,9;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;5.182,38;112326/Debito - Visa Electron;43253,39;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;56.357,97;112327/ Debito - Alelo Refeição;51,58;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;5.520,45;112329/Debito - VR Ali;1066,36;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;4.971,64;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;126.894,43;112350/Credito -AMEX;1042,09;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;149.781,32;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;159.404,20;112353/Credito-GoodCard;217;
 ; ; ; ; ; ; ;112308/Debito-Elo;613.091,16;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;2.086.817,58;112357/Credito - Elo;10627,03;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;238.388,64;112361/Credito - Mastercard;50866,46;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;22710,56;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;157.550,69;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;0,00;112375/Credito - Policard/Up Brasil;845,5;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;385,14;112379/Credito - Tricard;256,76;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.499.473,61;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;26.011,88;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;145.237,27;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;26.116,49;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;26.549,77;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;185,04;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;205,76;112501/Cheque AV;25740,59;
 ; ; ; ; ; ; ;112357/Credito - Elo;455.086,50;112502/Cheque Pre;16678,52;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;673,05;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;8532,93;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.850.688,63;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.761.823,94;112985/IRRF a Compensar;3807,7;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;49.844,95;127201/Partic em Outras Sociedades;150;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;63.350,01;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;50.121,88;211101/Fornec. p/ Revenda;11727910,41;
 ; ; ; ; ; ; ;112380/Debito -VR ref;17.824,23;211102/Fornec p/ Consumo;276789,96;
 ; ; ; ; ; ; ;112381/Debito - Cabal;20.204,54;211103/Fornec de Serviços;428929,9;
