Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Janeiro/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.565.172,13;17,42%; ;(E) Entradas ==>;15.070.130,90;(I) Saldo Inicial ==>;3.107.548,79;;
 ; ;Vendas Crédito;4.730.424,33;32,13%; ;(S) Saídas ==>;16.372.486,82;(F) Saldo Final ==>;1.805.192,87;;
 ; ;Vendas Débito;5.103.335,52;34,66%; ;(=) Ent - Saídas;-1.302.355,92;(=) Saldo I - Saldo F;-1.302.355,92;;
 ; ;Vendas Clientes;665.135,62;4,52%; ; ; ; ; ;;
 ; ;Vendas PIX;1.514.863,24;10,29%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;145.600,12;0,99%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.724.530,96;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;301.497,48;2,05%; ; ; ; ; ;;
 ; ;( - ) Deduções;13.055,14;0,09%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.409.978,34;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;12.307.008,57;85,41%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;2.102.969,77;14,59%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;411.609,57;2,86%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;55.229,86;0,38%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;50.771,25;0,35%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;106.001,11;0,74%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;27.729,12;0,19%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;20.391,06;0,14%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;4.088,15;0,03%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;4.088,15;0,03%; ; ; ; ; ;;
 ; ;Lucro Bruto;1.804.699,37;12,52%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;14.877,42;0,10%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;125,79;0,00%; ; ; ; ; ;;
 ; ;Fretes;105,48;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.600.793,32;11,11%; ; ; ; ; ;;
 ; ;Despesas Administrativas;784.414,09;5,44%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;20.450,65;0,14%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;4.373,05;0,03%; ; ; ; ; ;;
 ; ;Alugueis;126.369,83;0,88%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;160.999,33;1,12%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.901,02;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.710.607,94;18,81%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;-905.908,57;-6,29%; ; ; ; ; ;;
 ; ;Resultado Financeiro;13.892,48;0,10%; ; ; ; ; ;;
 ; ;Receita Financeira;19.882,86;0,14%; ; ; ; ; ;;
 ; ;Despesas Financeiras;5.990,38;0,04%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;-892.016,09;-6,19%; ; ; ; ; ;;
 ; ;Imposto de Renda;49.644,75;0,34%; ; ; ; ; ;;
 ; ;Lucro Líquido;-941.660,84;-6,53%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;338.815,99;2,35%; ; ; ; ; ;;
 ; ;SAÍDAS;338.815,99;2,35%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;233.855,97;1,62%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;104.959,90;0,73%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,12;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;5.183,39;0,04%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;19.515,71; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;14.332,32; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;-406,75;0,00%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;16.442,26; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;16.849,01; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;-1.285.253,47;-8,92%; ; ; ; ; ;;
 ; ;Acionistas;20.379,63;0,14%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;-1.305.633,10;-9,06%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;48.453,54; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;45.176,36; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;-1.302.355,92; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Entradas - Total; ;112101/ Clientes a Receber;76091,14;
 ; ; ; ; ; ; ;Resgate;0,00;112150/Pix;30741,09;
 ; ; ; ; ; ; ;111101/Movimento Caixa;2.613.590,96;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112101/Clientes a Receber;222.701,10;112220/ G & C Hoteis;0;
 ; ; ; ; ; ; ;112103/Clientes Boletos;59.394,94;112230/ Tejotão Card 25;1509,46;
 ; ; ; ; ; ; ;112111/Ifood;12.684,78;112231/ Pereira & Sales Loterias;660,55;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;0;
 ; ; ; ; ; ; ;112150/Pix;1.514.863,24;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;41.005,94;112244/Rossini;4946,72;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112250/Tejotao Card - Cartoes;0;
