Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112103/Clientes Boletos;55.005,50;112230/ Tejotão Card 25;1048,46;
 ; ; ; ; ; ; ;112111/Ifood;9.170,70;112231/ Pereira & Sales Loterias;551,59;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;0;
 ; ; ; ; ; ; ;112150/Pix;1.405.261,80;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,40;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;37.927,98;112244/Rossini;4714,57;
 ; ; ; ; ; ; ;112220/GC Hoteis;8.223,94;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;155.342,71; ; ; ;112230/ Tejotão Card 25;10.635,60;112251/ Pelegrine e Silva;4077,75;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.994,20;112252/ Livio Rinzler e Outros;5504,91;
 ; ;Serviços Normais;154.147,79; ; ; ;112232/A Regional;3.169,31;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.914,47; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;1900;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;25702,31;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;259,88;112302/Debito-Alelo Ali;1348,34;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;2388,52;
 ; ; ; ; ; ; ;112244/Rossini;8.942,72;112308/Debito-Elo;1689,71;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;169.223,67;112312/Debito - Maestro;18113,32;
 ; ; ; ; ; ; ;112249/Doações a receber;5.411,79;112319/Debito- Sodexo  Alim;6539,75;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;5.935,49;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;8.155,50;112321/Debito - Ticket Alim;4105,69;
 ; ; ; ; ; ; ;112252/Livio Rinzler;9.103,13;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;43.768,83;112323/Debito - Ticket Flex;363,67;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;3.798,21;112326/Debito - Visa Electron;37052,15;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;46.955,50;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;4.626,28;112329/Debito - VR Ali;943,21;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;5.269,42;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;25.702,31;112350/Credito -AMEX;829,95;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;109.230,70;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;92.496,50;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;427.606,13;112355/Credito - ECX Card;12,92;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.448.868,90;112357/Credito - Elo;11772,6;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;224.698,71;112361/Credito - Mastercard;47027,71;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;21,28;112372/Credito - Visa;19568,86;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;143.038,08;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;299,25;112375/Credito - Policard/Up Brasil;1539,05;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;314,98;112379/Credito - Tricard;172,1;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;1.687.708,07;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;18.500,76;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;113.697,69;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;25.592,24;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;22.417,44;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;179,98;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;216,24;112501/Cheque AV;20100,76;
 ; ; ; ; ; ; ;112357/Credito - Elo;401.085,59;112502/Cheque Pre;53036,97;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;2988,49;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;13497,69;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.447.522,04;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.554.640,29;112985/IRRF a Compensar;4914,48;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;44.543,29;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;51.120,34;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;47.480,75;211101/Fornec. p/ Revenda;9913170,2;
 ; ; ; ; ; ; ;112380/Debito -VR ref;22.776,60;211102/Fornec p/ Consumo;231283,69;
 ; ; ; ; ; ; ;112381/Debito - Cabal;12.629,85;211103/Fornec de Serviços;372051,92;
